,Price,Location,Bedrooms(s),Property Type
908,"₦ 10,000,000/year",Jahi Abuja,3,Neatly Built Flat | Jahi Gilmore
909,"₦ 12,000,000/year",Mabushi District By V I O Abuja Mabushi Abuja,4,Duplex
910,"₦ 5,000,000",Life Camp Life Camp Abuja,2,New s Flat Ensuite
911,"₦ 20,000,000",Katampe Extension Katampe Abuja,2,"Tastefullybuilt Flat, At Katampe Abuja"
912,"₦ 2,700,000,000","Banana Island Road, Ikoyi Lagos",5,5bed Penthouse+bq..
913,"₦ 6,000,000/year",Katampe Main Abuja,2,Newly Built Flat.
914,"₦ 6,000,000/year",Fo1 Kubwa Abuja,2,Expatriate Standard Newly Built
915,"₦ 2,750,000/year","Durumi By Area1, Durumi Abuja Durumi Abuja",,One Bedroom Flat
916,"₦ 12,000,000/year","Utako, Abuja Utako Abuja",4,Duplex
917,"₦ 11,500,000/year",Life Camp Abuja,4,Duplex With Bq
918,"₦ 25,000,000/year",Guzape Abuja Guzape Abuja,4,Duplex
919,"₦ 15,000,000/year","Wuye, Abuja Wuye Abuja",4,Duplex
920,"₦ 12,000,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",4,Massive Flat
921,"₦ 10,000,000/year","By Sunnyvale, Galadimawa Abuja",4,Fully Detached Duplex With Bq
922,"₦ 10,000,000/year","Jabi Airport Road, Jabi, Abuja Jabi Abuja",4,Duplex With Bq
923,"₦ 25,000,000/year",Maitama Abuja,4,Newly Built Duplex
924,"₦ 15,000,000/year",Guzape Abuja,4,Newly Built Terrace Duplex With Bq
925,"₦ 12,000,000/year",Guzape Abuja Guzape Abuja,4,Newly Built 4bedroom Duplex With Bq
926,"₦ 7,500,000/year","By Cedercrest, Apo Abuja",4,Semi Detached Duplex
927,"₦ 15,000,000/year",Guzape Abuja Guzape Abuja,4,Duplex
928,"₦ 11,500,000/year",Life Camp Abuja,4,Duplex With Bq
929,"₦ 15,000,000/year",Guzape Abuja Guzape Abuja,4,Decent 4bedroom Duplex With Bq
930,"₦ 15,000,000/year",Katampe Abuja,4,Terrace Duplex With Bq
931,"₦ 15,000,000/year",Wuye Abuja,4,Massive Terraced Duplex With Bq
932,"₦ 20,000,000/year",Guzape Abuja,4,Duplex With Bq
933,"₦ 80,000,000","Pan Atlantic, Lakowe Golf, Eleko Junction Ibeju Lekki Lagos",4,Luxury Detached Bungalow
934,"₦ 10,000,000/year",Durumi Abuja Durumi Abuja,4,Newly Built Duplex
935,"₦ 25,000,000/year",Wuye Abuja,4,Fully Detached Duplex With Bq
936,"₦ 5,000,000/year","Brains And Harmer City Estate, Life Camp, Abuja Life Camp Abuja",4,Duplex With Bq
937,"₦ 9,000,000/year","Jabi Airport Road, Jabi, Abuja Jabi Abuja",4,Duplex
938,"₦ 10,000,000/year","Durumi, Abuja Durumi Abuja",4,Duplex
939,"₦ 11,000,000/year","Katampe Main, Abuja, Lagos Katampe Main Abuja",4,Duplex
940,"₦ 9,000,000/year","Gilmore, Jahi Abuja",4,Terrace Duplex With Bq
941,"₦ 15,000,000/year",Guzape Abuja Guzape Abuja,4,Big 4bedroom Duplex With Bq ( With 3 Kitchenettes)
942,"₦ 25,000,000/year","Asokoro By Governors Lodge, Asokoro, Abuja Asokoro Abuja",4,Newly Built Duplex
943,"₦ 49,000,000","Arab Road By Main Express, Kubwa, Abuja Kubwa Abuja",1,"Massive 1,600 Square Metre Land"
944,"₦ 13,000,000/year","Life Camp, Abuja Life Camp Abuja",4,Newly Built Duplex With Bq
945,"₦ 15,000,000/year","By Jabi Lake Mall, Jabi Abuja",4,Duplex With Bq
946,"₦ 10,000,000/year",Mabushi Abuja,4,Duplex With Bq
947,"₦ 12,000,000/year",Guzape Abuja Guzape Abuja,4,Newly Built Duplex
948,"₦ 11,500,000/year",Life Camp Abuja,4,Duplex With Bq
949,"₦ 250,000,000/year","Wuye, Abuja Wuye Abuja",,Office Complex
950,"₦ 25,000,000/year",Katampe Abuja,4,Duplex With 2 Bq
951,"₦ 13,500,000/year","Admiralty Estate, Asokoro, Abuja Asokoro Abuja",4,Newly Built 4bedroom Duplex With Bq ( Self Compound)
952,"₦ 12,000,000/year","Jahi Gilmore, Jahi Abuja",4,Duplex With Bq
953,"₦ 10,000,000/year","By Von Road, Lugbe, Airport Road, Abuja Lugbe Abuja",4,Duplex
954,"₦ 16,000,000/year",Banana Island Road Mojisola Onikoyi Estate Ikoyi Lagos,2,Furnished Flat
955,"₦ 8,500,000/year",Jahi Abuja,4,Duplex With Bq
956,"₦ 12,000,000/year",Guzape Abuja Guzape Abuja,4,Decent 4bedroom Duplex With Bq
957,"₦ 15,000,000/year",Guzape Abuja Guzape Abuja,4,Massive 4bedroom Duplex With Bq
958,"₦ 6,500,000/year","Karsana By Gwarinpa, Karsana Abuja",4,Duplex With Bq
959,"₦ 15,000,000/year","Jabi Main, Jabi, Abuja Jabi Abuja",4,Duplex
960,"₦ 10,000,000/year","Life Camp, Abuja Life Camp Abuja",4,Newly Built Duplex
961,"₦ 25,000,000/year","Wuye, Abuja Wuye Abuja",4,Duplex With Bq
962,"₦ 15,000,000/year",Guzape Abuja,4,Duplex With Bq
963,"₦ 15,000,000/year","Katampe Extension, Abuja, Lagos Katampe Abuja",4,Duplex
964,"₦ 12,000,000/year","Gilmore, Jahi Abuja",4,Duplex
965,"₦ 15,000,000/year",Guzape Abuja Guzape Abuja,4,Decent 4bedroom Duplex With Bq
966,"₦ 15,000,000/year",Guzape Abuja,4,Duplex With Bq
967,"₦ 10,000,000/year","Jahi Main, Jahi Abuja",4,Duplex
968,"₦ 12,000,000/year","By America International School, Durumi Abuja",4,Duplex With Bq
969,"₦ 15,000,000/year","Jabi Kado By Jabi Lake, Jabi, Abuja Jabi Abuja",4,Newly Built Duplex
970,"₦ 12,000,000/year","Guzape By Hmedix, Guzape Abuja",4,Massive Duplex With Bq
971,"₦ 17,000,000/year","Naf Valley Estate, Jahi, Asokoro Abuja",4,Newly Built 4bedroom Duplex With Bq
972,"₦ 15,000,000/year",Guzape Abuja,4,Duplex With Bq
973,"₦ 4,500,000/year","By Copa Cubana Estate, Lokogoma Apo Express , Abuja Lokogoma Abuja",4,Bungalow
974,"₦ 15,000,000/year",Guzape Abuja Guzape Abuja,4,Spacious 4bedroom Duplex With Bq
975,"₦ 5,000,000/year",Dr Adewale Oshin Lekki Phase 1 Lekki Lagos,1,Apartment
976,"₦ 25,000,000/year",Wuye Abuja,4,Terrace Duplex With Bq
977,"₦ 18,000,000/year",Wuye Abuja,4,Terraced Duplex
978,"₦ 20,000,000/year",Area 8 Garki 2 Abuja,,Park And Recreation
979,"₦ 75,000,000/year",Maitama Abuja,3,Terrace Duplex
980,"₦ 15,000,000/year",Apo Abuja,4,Semi Detached Duplex With Bq
981,"₦ 35,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex
982,"₦ 35,000,000",Katampe Abuja,4,Terrace Duplex
983,"₦ 10,000,000/year",Gaduwa Abuja,4,Detached Duplex
984,"₦ 5,500,000/year",Jabi Abuja,,Plaza
985,"₦ 75,000,000/year",Mabushi Abuja,,Office Space
986,"₦ 60,000,000/year",Maitama Abuja,4,Detached Duplex
987,"₦ 20,000,000/year",Diplomatic Zone Katampe Abuja,4,A Good Spacious 4bedroom Semi Detached Duplex + Bq
988,"₦ 12,000,000/year",Jahi Abuja,4,Terrace Duplex With Bq
989,"₦ 45,000,000/year",Gwarinpa District Abuja ( Video Is Attached) Gwarinpa Abuja,6,Fully Detached Duplex
990,"₦ 20,000,000/year",Lifeca District Abuja Life Camp Abuja,4,Terrace Duplex
991,"₦ 15,000,000/year",Katampe Main Abuja,4,Newly Built Terrace Duplex With Bq
992,"₦ 20,000,000/year",After H Medix Supermarket. ( Video Of The House Is Attached) Guzape Abuja,4,Terrace Duplex + 1bq
993,"₦ 15,000,000/year",Apo Gudu District Abuja After Ceadercrest Hospital Apo Abuja,5,Detached Duplex
994,"₦ 10,000,000/year",Apo Gudu District By Ceadercrest Hospital Apo Abuja,4,Newly Built Terrace Duplex With Bq
995,"₦ 15,000,000/year",Gwarinpa District Abuja ( Video Is Attached) Gwarinpa Abuja,4,Semi Detached Duplex + Bq
996,"₦ 650,000,000",Lekki Phase 1 Lekki Lagos,4,Brand New Terrace Duplex With Bq
997,"₦ 13,000,000/year",Life Camp Abuja,4,Terraced Duplex
998,"₦ 20,000,000/year",Katampe Extension (diplomatic Zone) Katampe Abuja,4,A Well Built Serviced 4bedroom Terrace Duplex + 1bq
999,"₦ 18,000,000/year",Utako Abuja. (video Of House Is Attached) Utako Abuja,4,Terrace Duplex + 1bq
1000,"₦ 10,000,000/year",Karmo Idu District After Turkish Hospital (nizamiyel Hospital) Karmo Abuja,4,Newly Built Terrace Duplex With Bq
1001,"₦ 12,000,000/year",Jahi Abuja,4,Terrace Duplex With Bq
1002,"₦ 20,000,000/year",Diplomatic Zone Katampe Extension Katampe Abuja,5,Detached Duplex + Bq
1003,"₦ 10,000,000/year",Apo Gudu District After Ceadercrest Hospital. Apo Abuja,4,Spacious Detached Duplex With 1 Bq
1004,"₦ 30,000,000/year",Diplomatic Zone Katampe Extension ( Video Of The House Is Attached) Katampe Abuja,4,A Semi Detached Duplex + Bq
1005,"₦ 15,000,000/year","Lifecamp District, Life Camp Abuja",4,Serviced Terraced Duplex
1006,"₦ 7,000,000/year","Jahi District, Jahi Abuja",4,Terraced Duplex
1007,"₦ 10,000,000/year",Jahi Abuja ( Video Of The House Is Attached) Jahi Abuja,4,Newly Built Duplex
1008,"₦ 12,000,000/year",Jahi District Abuja Jahi Abuja,4,Terrace Duplex + 1bq
1009,"₦ 8,000,000/year",Games Village Estate Kaura (games Village) Abuja,4,Terrace Duplex
1010,"₦ 15,500,000/year",Gudu District Abuja Gudu Phase 2 Abuja,4,Terrace Duplex
1011,"₦ 7,000,000/year",Gwarinpa Extension Abuja Gwarinpa Abuja,4,Detached Bungalow
1012,"₦ 15,000,000/year",Jahi Abuja,4,Newly Built Terrace Duplex
1013,"₦ 15,000,000/year","City Scape Estate, Lokogoma Abuja",4,Detached Duplex With Bq
1014,"₦ 30,000,000/year","Diplomatic Zone Katampe Extension, Katampe Abuja",6,Serviced Terraced Duplex With 1 Bq
1015,"₦ 7,500,000/year",Gaduwa District Abuja Gaduwa Abuja,4,A New Serviced 4bedroom Terrace Duplex + 1bq
1016,"₦ 12,000,000/year",Jahi District Abuja Jahi Abuja,4,Terrace Duplex + 1bq
1017,"₦ 850,000,000",Vgc Lekki Lagos,5,Contemporary Fully Furnished Duplex
1018,"₦ 9,000,000/year",Gwarinpa Abuja,4,Terrace Duplex With Bq
1019,"₦ 12,000,000/year",Lifecamp District Life Camp Abuja,4,Terrace Duplex
1020,"₦ 35,000,000/year",Jabi District Abuja. Jabi Abuja,4,Semi Detached Duplex
1021,"₦ 8,000,000/year",Kado District Kado Abuja,3,Spacious Flat
1022,"₦ 10,000,000/year",Jahi District Abuja Jahi Abuja,3,Flat
1023,"₦ 6,500,000/year",Jahi District Abuja Jahi Abuja,3,Flat
1024,"₦ 30,000,000/year",Mabushi District Abuja Mabushi Abuja,5,Terrace Duplex + 1bq
1025,"₦ 20,000,000/year",Guzape District ( Video Is Attached) Guzape Abuja,5,Detached Duplex + Bq
1026,"₦ 7,000,000/year",Katampe District Katampe Abuja,2,Newly Built Flat
1027,"₦ 17,000,000/year","Diplomatic Zone, Katampe Extension Katampe Abuja",5,Terrace Duplex With Bq
1028,"₦ 60,000,000/year","Maitama District, Maitama Abuja",4,Terraced Duplex With 1 Bq
1029,"₦ 9,000,000/year",Diplomatic Zone ( Katampe Extension) Katampe Extension Katampe Abuja,3,Flat
1030,"₦ 6,000,000/year",After Vio Office ( Video Is Available) Mabushi Abuja,3,A Very Good Spacious Flat
1031,"₦ 7,000,000/year",Jahi Abuja,2,Newly Built Flat
1032,"₦ 11,000,000/year",Jahi District Abuja Jahi Abuja,4,Terrace Duplex
1033,"₦ 35,000,000/year",Wuse2 District Wuse 2 Abuja,4,Semi Detached Duplex
1034,"₦ 15,000,000/year",Guzape Abuja,4,Serviced Terrace Duplex With Bq
1035,"₦ 50,000,000/year",Maitama Abuja,6,Detached Duplex With 3 Bq
1036,"₦ 12,000,000/year",Dawaki District Opposite Gwarinpa Dawaki Abuja,4,Newly Built Terrace Duplex With Bq
1037,"₦ 13,000,000/year",Apo Gudu District ( Video Of The House Is Attached) Apo Abuja,4,Semi Detached Duplex
1038,"₦ 370,000,000",Life Camp Abuja,4,Detached Duplex For Sale At Lifecamp
1039,"₦ 100,000/sqm",Wuse 2 Abuja,900,900sqms Of Open Rooftop Space
1040,"₦ 8,000,000/year",Jahi District Abuja Jahi Abuja,3,Flat
1041,"₦ 40,000,000/year",Asokoro District Abuja (video Of The House Is Attached) Asokoro Abuja,4,Detached Duplex
1042,"₦ 5,000,000/year",Jahi District Abuja Jahi Abuja,2,Flat
1043,"₦ 35,000,000/year",Diplomatic Zone Katampe Extension ( Video Is Attached) Katampe Abuja,5,Apartment
1044,"₦ 20,000,000/year",Apo By Legislative Quaters Apo Abuja,5,Terrace Duplex + 1bq
1045,"₦ 10,000,000/year","Kado District, Kado Abuja",3,Terraced Duplex
1046,"₦ 12,000,000/year","Jahi District With A Good Motorable Road, Jahi Abuja",4,Terraced Duplex With 1 Bq
1047,"₦ 50,000,000/year",Mabushi District Abuja (video Of The House Is Attached Maitama Abuja,4,Terrace Duplex + 1bq
1048,"₦ 15,000,000/year",By Citec Mbora District After Jabi. Mbora (nbora) Abuja,4,Terrace Duplex
1049,"₦ 50,000,000/year",Maitama District Abuja ( Video Of The House Is Attached) Maitama Abuja,6,Fully Detached Duplex
1050,"₦ 20,000,000/year","Wuse, Zone 1 Abuja. ( Video Of The House Is Attached) Wuse 1 Abuja",4,Newly Built Terrace Duplex With Bq
1051,"₦ 30,000,000/year",Diplomatic Zone (katampe Extension) Katampe Extension Katampe Abuja,5,Detached Duplex + 1bq
1052,"₦ 8,500,000/year",Utako District Abuja Utako Abuja,3,Flat
1053,"₦ 12,000,000/year",Wuse2 District Abuja. Wuse 2 Abuja,3,Flat + 1bq
1054,"₦ 8,000,000/year",Apo Gudu District After Ceadercrest Hospital Apo Abuja,4,Terrace Duplex With Bq
1055,"₦ 25,000,000/year",Lifecamp District Abuja ( Video Of The House Is Attached) Life Camp Abuja,4,Semi Detached Duplex + Bq
1056,"₦ 15,000,000/year","Lifecamp District, Life Camp Abuja",4,Serviced Terraced Duplex With 1 Bq
1057,"₦ 15,000,000/year","Wuye District, Wuye Abuja",2,Serviced Flat
1058,"₦ 30,000,000/year",Off Ibb Way ( Video Is Available) Maitama Abuja,4,A Brand New Terraced Duplex + 1bq
1059,"₦ 15,000,000/year",Lekki Phase 1 Lekki Lagos,2,Newly Built Terraced Duplex
1060,"₦ 10,000,000/year",Jabi By Dakibyu District Dakibiyu Abuja,4,Newly Built Terrace Duplex With Bq
1061,"₦ 35,000,000/year",Maitama Abuja ( Video Of The House Is Attached) Maitama Abuja,4,A Very Good Semi Detached Duplex
1062,"₦ 20,000,000/year",Mabushi District Mabushi Abuja,4,Terrace Duplex
1063,"₦ 9,000,000/year",Karmo Idu District After Turkish Hospital (nizamiyel Hospital) Karmo Abuja,4,Terrace Duplex
1064,₦ 130/sqm,Wuse2 District Abuja ( Video Of Shop Is Attached) Wuse 2 Abuja,,Shop Space
1065,"₦ 6,000,000/year",Lifecamp District Abuja (video Is Attached) Life Camp Abuja,3,Flat
1066,"₦ 15,000,000",In A Serene Estate Kukwaba Abuja,4,Super Spacious Terraced Duplex With Bq
1067,"₦ 7,000,000/year","Close To Custom Quaters/after Nizamiye Hospital, Idu Abuja",3,Newly Built Apartment
1068,"₦ 25,000,000",Maitama Abuja,4,Terraced Duplex || Maitama
1069,"₦ 15,000,000/year",In An Estate Durumi Abuja,6,Newly Built Semi Detached Duplex With Bq
1070,"₦ 11,500,000/year",Jahi Gilmor Jahi Abuja,3,Apartment
1071,"₦ 5,000,000/year","Life Camp Extension, Paradise 2 Life Camp Abuja",2,Newly Built Apartment
1072,"₦ 7,000,000",Nizamiye Hospital Axis Idu Abuja,3,Luxury Apartment || Idu
1073,"₦ 7,000,000",Wuye Abuja,120,120sqm Office Space
1074,"₦ 6,000,000/year",Along Jedo Estate Road Lugbe Abuja,5,Fully Detached Duplex | Lugbe
1075,"₦ 15,000,000/year",Katampe Ext Katampe Abuja,4,Terrace Duplex With Bq
1076,"₦ 12,000,000/year",Utako Abuja,4,Terraced Duplex || Mabushi
1077,"₦ 3,500,000",Before Aco Bridge Lugbe Abuja,3,Detached Duplex
1078,"₦ 7,000,000",In An Estate Idu Abuja,2,Furnished Apartment || Idu
1079,"₦ 13,000,000/year",Galadimawa Abuja,5,Newly Built Semi Detached Duplex With Bq
1080,"₦ 220,000,000","Spar Road, Ikate Lekki Lagos",2,Luxury Apartment With Elevator
1081,"₦ 6,000,000/year",Life Camp Abuja,3,Luxury Apartment
1082,"₦ 9,000,000",Jahi Abuja,3,Newly Built Spacious Apartment || Jahi
1083,"₦ 7,000,000/year",Maitama Abuja,2,Standard Flat
1084,"₦ 7,000,000/year","Behind Shafa Filling Station, Lugbe Abuja",5,Duplex
1085,"₦ 8,500,000",Mabushi Abuja,3,Spacious Apartment With Bq || Mabushi
1086,"₦ 28,000,000/year",Wuse 2 Abuja,4,Duplex
1087,"₦ 25,000,000/year",Wuse 2 Abuja,3,Duplex
1088,"₦ 10,000,000/year","Banex Axis, Wuse 2 Abuja",3,Spacious Apartment Office Use
1089,"₦ 25,000,000/year",Maitama Abuja,4,Terraced Duplex With Bq || Maitama
1090,"₦ 6,000,000",In A Mini Estate In Aco Estate Lugbe Abuja,5,s Detached Duplex
1091,"₦ 2,500,000/year",Basic Estate Lokogoma Abuja,1,Flat
1092,"₦ 2,500,000/year",Close To Sunnyvale Estate Lokogoma Abuja,1,Flat
1093,"₦ 30,000,000/year",Wuse 2 Abuja,,Commercial Space
1094,"₦ 1,000,000/year",Gwarinpa Abuja,,Room Self Contained
1095,"₦ 800,000/year",Gwarinpa Abuja,,Room Self Contained
1096,"₦ 40,000,000/year",Asokoro Asokoro Abuja,4,Luxury Finished Semi Detached Duplex+bq
1097,"₦ 16,000,000/year",Asokoro Msin Asokoro Abuja,4,Beautifully Finished Terrace Duplex +bq
1098,"₦ 20,000,000/year",Guzape Guzape Abuja,4,Luxury Finished Detached Duplex With A Bq
1099,"₦ 1,700,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1100,"₦ 16,000,000/year",Guzape Guzape Abuja,4,Newly Built Terrace Duplex With A Bq
1101,"₦ 9,000,000/year",Orisumibare Shasha Alimosho Lagos,19,Luxury 19 Rooms Hotel
1102,"₦ 18,000,000/year",Utako Utako Abuja,4,Newly Built Terrace Duplex+bq
1103,"₦ 10,000,000/year",Ochacho Estate Idu Abuja,5,Detached Duplex With Bq
1104,"₦ 35,000,000/year",Gwarinpa Gwarinpa Abuja,4,Detached Duplex
1105,"₦ 50,000,000/year",Asokoro Asokoro Abuja,6,Duplex+bq
1106,"₦ 4,500,000/year",Jabi Jabi Abuja,,Shop/ Office Space
1107,"₦ 130,000,000/year",Zone 1 Wuse 1 Abuja,,Strategically Located Office Complex
1108,"₦ 1,500,000/year",Gwarinpa Abuja,,Standard Room Self Contained
1109,"₦ 13,000,000/year",Guzape Abuja,4,Terrace Duplex With Bq
1110,"₦ 1,000,000/year",Gwarinpa Abuja,,Room Self Contained
1111,"₦ 11,000,000/year",Gwarinpa Gwarinpa Abuja,4,Newly Built Terrace Duplex With A Bq
1112,"₦ 5,500,000/year",Brains And Hammers Life Camp Abuja,4,Terrace Duplex
1113,"₦ 1,000,000/year",Gwarinpa Abuja,1,Flat
1114,"₦ 300,000,000/year",Utako Abuja,,Office Complex
1115,"₦ 3,000,000/year",Gwarinpa Gwarinpa Abuja,1,Flat
1116,"₦ 1,000,000/year",Gwarinpa Abuja,,A Room Self Contained
1117,"₦ 20,000,000/year",Guzape Abuja,4,Terraced Duplex With A Bq
1118,"₦ 12,000,000/year",Gwarinpa Gwarinpa Abuja,,Shop/office
1119,"₦ 10,000,000/year",Suncity Estate Galadimawa Abuja,4,Detached Duplex
1120,"₦ 15,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex With A Bq
1121,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contained
1122,"₦ 345,000,000",Opebi Ikeja Lagos,4,"Spacious 4 Bed Terrace With 2 Masters, 2 Parlours & Bq"
1123,"₦ 1,000,000/year",Gwarinpa Abuja,,Room Self Contained
1124,"₦ 1,400,000/year",Gwarinpa Abuja,,Room Self Contained
1125,"₦ 5,000,000/year",Gaduwa Gaduwa Abuja,2,Flat
1126,"₦ 1,500,000/year",Lifecamp Life Camp Abuja,,Room Self Contain
1127,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained
1128,"₦ 3,000,000/year",Gwarinpa Gwarinpa Abuja,,Shop
1129,"₦ 18,000,000/year",Fha Guzape Abuja,4,Terraced Duplex
1130,"₦ 5,000,000/year",Area 1 By Old Secretariat Garki 1 Abuja,2,Spacious Flat
1131,"₦ 8,000,000/year",Brookshore Estate Gwarinpa Abuja,4,Flat
1132,"₦ 4,000,000/year",Jahi Jahi Abuja,1,Flat
1133,"₦ 1,500,000/year",Life Camp Abuja,,Room Self Contained
1134,"₦ 2,600,000/year",Asokoro Abuja,,Standard Self Contained
1135,"₦ 1,000,000/year",Gwarinpa Abuja,,A Room Self Contained
1136,"₦ 25,000,000/year",Fha Guzape Guzape Abuja,5,Magnificent Semi Detached Duplex+bq
1137,"₦ 6,500,000/year",Mabushi Mabushi Abuja,2,Flat
1138,"₦ 1,200,000/year",Gwarinpa Abuja,,Room Self Contained
1139,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contained
1140,"₦ 1,100,000/year",Gwarinpa Gwarinpa Abuja,,Self Contain
1141,"₦ 3,000,000/year",Asokoro Main Asokoro Abuja,,Room Self Contain
1142,"₦ 2,000,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contained
1143,"₦ 80,000,000","Pan Atlantic, Lakowe Golf, Eleko Junction Ibeju Lekki Lagos",4,Luxury Detached Bungalow
1144,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contained
1145,"₦ 1,800,000/year",Wuye Abuja,,Newly Built Room Self Contained
1146,"₦ 1,600,000/year",News Engineering Dawaki Dawaki Abuja,,Beautifully Built Self Contain
1147,"₦ 2,000,000/year",Wuye Wuye Abuja,,Self Contain
1148,"₦ 4,000,000/year",Gwarinpa Abuja,2,Flat
1149,"₦ 2,500,000/year",Zone 6 Wuse 1 Abuja,,Furnished Room Self Contained
1150,"₦ 4,500,000/year",Brains And Hammers Life Camp Abuja,3,Flat
1151,"₦ 2,000,000/year",Wuse 2 Abuja,,Room Self Contained
1152,"₦ 1,700,000/year",Wuye Abuja,,Room Self Contained
1153,"₦ 1,800,000/year",Wuse Zone 3 Wuse 1 Abuja,,Shop/office Space
1154,"₦ 4,000,000/year",Paradise Court Idu Abuja,2,Flat
1155,"₦ 2,000,000/year",Wuye Abuja,,Studio Self Contained
1156,"₦ 3,500,000/year",Wuae Zone Wuse 1 Abuja,1,Flat
1157,"₦ 3,000,000/year",Life Camp Abuja,1,Flat
1158,"₦ 13,000,000",In An Estate In Mbora Mbora (nbora) Abuja,4,Newly Built Terrace Duplex
1159,"₦ 15,000,000/year",Area 11 Garki 2 Abuja,,Office Space
1160,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained
1161,"₦ 8,000,000/year",Wuye Wuye Abuja,3,Newly Built Flat+bq
1162,"₦ 9,000,000/year",Idu Idu Abuja,4,Newly Built Semi Detached Duplex
1163,"₦ 1,500,000/year",Gwarinpa Abuja,,A Room Self Contained
1164,"₦ 700,000,009",Before H Medix Life Camp Abuja,6,Semi Finished Premium Detached Duplex
1165,"₦ 1,700,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1166,"₦ 13,000,000/year",Guzape Guzape Abuja,4,Beautifully Finished Terrace Duplex + Bq
1167,"₦ 1,600,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1168,"₦ 15,000,000/year",Zone 3 Wuse 1 Abuja,4,Terrace Duplex
1169,"₦ 10,000,000/year",Area 11 Garki 2 Abuja,3,Flat
1170,"₦ 1,600,000/year",Gwarinpa Abuja,,Room Self Contained
1171,"₦ 1,700,000/year",Gwarinpa Abuja,,Room Self Contained
1172,"₦ 20,000,000/year",Wuse Zone 4 Wuse 1 Abuja,4,Terrace Duplex
1173,"₦ 20,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex
1174,"₦ 25,000,000/year",Asokoro Extension Asokoro Abuja,4,Detached Duplex With Bq
1175,"₦ 4,500,000/year",Brains And Hammers Life Camp Abuja,4,Newly Built Terrace Duplex
1176,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Self Contain
1177,"₦ 8,000,000/year",Area 1 Garki Garki 1 Abuja,4,Terrace Duplex
1178,"₦ 13,000,000/year",Asokoro Abuja,4,Newly Built Terrace Duplex With Bq
1179,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained
1180,"₦ 50,000,000/year",Maitama Maitama Abuja,6,Detached Duplex
1181,"₦ 10,000,000/year",Area 11 Garki 2 Abuja,4,Apartment
1182,"₦ 15,000,000/year",Asokoro Extension Asokoro Abuja,4,Terrace Duplex+bq
1183,"₦ 8,000,000/year",Presidential Villa Asokoro Abuja,1,Furnished Flat
1184,"₦ 6,000,000/year",Close To Games Village Kaura (games Village) Abuja,3,Flat
1185,"₦ 350,000,000",Osborne Osborne Foreshore Estate Ikoyi Lagos,4,Terraced Duplex With Bq
1186,"₦ 1,300,000/year",Gwarinpa Abuja,,A Room Self Contained
1187,"₦ 5,000,000/year",Gwarinpa Gwarinpa Abuja,,Well Located Shop/office Space
1188,"₦ 10,000,000/year",Guzape Guzape Abuja,3,Newly Built Flat
1189,"₦ 15,000,000/year",Wuse Wuse 1 Abuja,4,Beautiful Terrace Duplex+bq
1190,"₦ 3,240,000/year",Jabi Abuja,,Shop/office Space
1191,"₦ 300,000,000/year",Wuse2 Wuse 2 Abuja,,Strategically Located Office Complex
1192,"₦ 35,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex With A Bq
1193,"₦ 25,000,000/year",Asokoro Asokoro Abuja,4,Terrace Duplex
1194,"₦ 15,000,000/year",Asokoro Asokoro Abuja,4,Newly Built Terrace Duplex
1195,"₦ 1,200,000/year",Gwarinpa Abuja,,A Room Self Contained
1196,"₦ 1,400,000/year",Gwarinpa Abuja,,Room Self Contain
1197,"₦ 20,000,000/year",Wuse Zone 1 Wuse 1 Abuja,4,Terraced Duplex With A Bq
1198,"₦ 1,250,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1199,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1200,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contained
1201,"₦ 1,400,000/year",Gwarinpa Abuja,,Room Self Contained
1202,"₦ 6,500,000/year",Wuye Wuye Abuja,2,Flat
1203,"₦ 2,500,000/year",Gbazango Kubwa Kubwa Abuja,2,Flat
1204,"₦ 3,500,000/year",Gwarinpa Gwarinpa Abuja,2,Bungalow
1205,"₦ 8,000,000/year",Ministers Lifecamp Life Camp Abuja,3,Bungalow
1206,"₦ 680,000,000",Alausa Ikeja Lagos,18,Fully Functioning 18 Rooms Hotel
1207,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained
1208,"₦ 1,200,000/year",Gwarinpa Abuja,,Room Self Contained
1209,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained
