Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),District,Price(Float)
flat / apartment,"₦4,000,000","Dawaki, Gwarinpa, Abuja",3,Apartment,"₦4,000,000.00",Gwarinpa,"4,000,000.00"
flat / apartment,"₦2,500,000","New Site Estate, FHA (F.H.A), Lugbe District, Abuja",2,Apartment,"₦2,500,000.00",Lugbe,"2,500,000.00"
detached duplex,"₦6,000,000","Behind Dunamis, Lugbe District, Abuja",4,Duplex,"₦6,000,000.00",Lugbe,"6,000,000.00"
detached duplex,"₦7,000,000","Lugbe District, Abuja",5,Duplex,"₦7,000,000.00",Lugbe,"7,000,000.00"
terraced duplex,"₦13,000,000","Kaura, Abuja",5,Duplex,"₦13,000,000.00",Kaura,"13,000,000.00"
flat / apartment,"₦11,000,000","Jahi, Abuja",2,Apartment,"₦11,000,000.00",Jahi,"11,000,000.00"
flat / apartment,"₦7,000,000","Jabi Mall, Jabi, Abuja",2,Apartment,"₦7,000,000.00",Jabi,"7,000,000.00"
detached duplex,"₦10,000,000","Along Von Road, Lugbe District, Abuja",4,Duplex,"₦10,000,000.00",Lugbe,"10,000,000.00"
detached duplex,"₦20,000,000","Kado, Abuja",5,Duplex,"₦20,000,000.00",Kado,"20,000,000.00"
detached bungalow,"₦5,000,000","Area 1 Axis., Durumi, Abuja",3,Bungalow,"₦5,000,000.00",Durumi,"5,000,000.00"
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
detached duplex,"₦20,000,000","Jahi, Jahi, Abuja",4,Duplex,"₦20,000,000.00",Jahi,"20,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦8,000,000","Gimbia Street, Area 11, Garki, Abuja",4,Apartment,"₦8,000,000.00",Garki,"8,000,000.00"
flat / apartment,"₦30,000,000","Area 11, Garki, Abuja",3,Apartment,"₦30,000,000.00",Garki,"30,000,000.00"
detached duplex,"₦30,000,000","Katampe Extension, Katampe, Abuja",5,Duplex,"₦30,000,000.00",Katampe,"30,000,000.00"
terraced duplex,"₦15,000,000","Katampe (Main), Katampe, Abuja",4,Duplex,"₦15,000,000.00",Katampe,"15,000,000.00"
terraced duplex,"₦17,500,000","Naf Valley Estate, Asokoro District, Abuja",3,Duplex,"₦17,500,000.00",Asokoro,"17,500,000.00"
flat / apartment,"$40,000","Maitama District, Abuja",2,Apartment,"₦54,198,800.00",Maitama,"54,198,800.00"
flat / apartment,"₦15,000,000","Guzape District, Abuja",2,Apartment,"₦15,000,000.00",Guzape,"15,000,000.00"
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
flat / apartment,"₦8,500,000","Utako, Abuja",3,Apartment,"₦8,500,000.00",Utako,"8,500,000.00"
detached duplex,"₦90,000,000","Maitama District, Abuja",5,Duplex,"₦90,000,000.00",Maitama,"90,000,000.00"
detached duplex,"₦45,000,000","Maitama District, Abuja",5,Duplex,"₦45,000,000.00",Maitama,"45,000,000.00"
flat / apartment,"₦7,000,000","Jabi Airport Junction Road 10mins To Fmc, Mbora (Nbora), Abuja",3,Apartment,"₦7,000,000.00",Jabi,"7,000,000.00"
semi-detached duplex,"₦17,000,000","Naffvalley Estate, Asokoro District, Abuja",4,Duplex,"₦17,000,000.00",Asokoro,"17,000,000.00"
detached duplex,"₦45,000,000","Asokoro District, Abuja",4,Duplex,"₦45,000,000.00",Asokoro,"45,000,000.00"
flat / apartment,"₦18,000,000","Utako, Abuja",2,Apartment,"₦18,000,000.00",Utako,"18,000,000.00"
semi-detached duplex,"₦15,000,000","Asokoro Main By Ty Danjuma., Asokoro District, Abuja",4,Duplex,"₦15,000,000.00",Asokoro,"15,000,000.00"
detached duplex,"₦50,000,000","Asokoro District, Abuja",5,Duplex,"₦50,000,000.00",Asokoro,"50,000,000.00"
detached duplex,"₦20,000,000","By Gilmor, Jahi, Abuja",5,Duplex,"₦20,000,000.00",Jahi,"20,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦20,000,000.00",Katampe,"20,000,000.00"
semi-detached bungalow,"₦2,000,000","FHA (F.H.A), Lugbe District, Abuja",2,Bungalow,"₦2,000,000.00",Lugbe,"2,000,000.00"
flat / apartment,"₦4,000,000","Lugbe District, Abuja",1,Apartment,"₦4,000,000.00",Lugbe,"4,000,000.00"
flat / apartment,"₦150,000,000","Jabi, Abuja",2,Apartment,"₦150,000,000.00",Jabi,"150,000,000.00"
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00",Wuye,"15,000,000.00"
flat / apartment,"₦35,000,000","Maitama District, Abuja",3,Apartment,"₦35,000,000.00",Maitama,"35,000,000.00"
detached duplex,"₦15,000,000","River Park Estate, Airport Road, Lugbe District, Abuja",3,Duplex,"₦15,000,000.00",Lugbe,"15,000,000.00"
terraced duplex,"₦12,000,000","American International School, Durumi, Abuja",4,Duplex,"₦12,000,000.00",Durumi,"12,000,000.00"
detached duplex,"₦7,000,000","Gwarinpa Extension, Gwarinpa, Abuja",4,Duplex,"₦7,000,000.00",Gwarinpa,"7,000,000.00"
flat / apartment,"₦4,000,000","River Park, Lugbe District, Abuja",2,Apartment,"₦4,000,000.00",Lugbe,"4,000,000.00"
detached duplex,"₦100,000,000","Maitama District, Abuja",4,Duplex,"₦100,000,000.00",Maitama,"100,000,000.00"
terraced duplex,"₦100,000,000","Utako, Abuja",4,Duplex,"₦100,000,000.00",Utako,"100,000,000.00"
detached duplex,"₦12,000,000","Life Camp, Abuja",4,Duplex,"₦12,000,000.00",Life Camp,"12,000,000.00"
terraced duplex,"₦8,000,000","Customs Quarters, Idu Industrial, Abuja",4,Duplex,"₦8,000,000.00",Idu,"8,000,000.00"
terraced duplex,"₦15,000,000","Katampe, Abuja",4,Duplex,"₦15,000,000.00",Katampe,"15,000,000.00"
terraced duplex,"₦400,000,000","Gilmore, Jahi, Abuja",5,Duplex,"₦400,000,000.00",Jahi,"400,000,000.00"
flat / apartment,"₦10,000,000","Jahi, Abuja",2,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
detached duplex,"₦35,000,000","Zone 2, Wuse, Abuja",6,Duplex,"₦35,000,000.00",Wuse,"35,000,000.00"
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦20,000,000.00",Katampe,"20,000,000.00"
detached duplex,"₦6,500,000","News Engineering, Dawaki, Gwarinpa, Abuja",4,Duplex,"₦6,500,000.00",Gwarinpa,"6,500,000.00"
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00",Wuye,"15,000,000.00"
flat / apartment,"₦38,000,000","Maitama District, Abuja",3,Apartment,"₦38,000,000.00",Maitama,"38,000,000.00"
flat / apartment,"₦15,000,000","By Aso Radio, Katampe, Abuja",2,Apartment,"₦15,000,000.00",Katampe,"15,000,000.00"
terraced duplex,"₦15,000,000","Asokoro District, Abuja",4,Duplex,"₦15,000,000.00",Asokoro,"15,000,000.00"
flat / apartment,"₦20,000,000","Guzape District, Abuja",2,Apartment,"₦20,000,000.00",Guzape,"20,000,000.00"
flat / apartment,"₦15,500,000","Guzape District, Abuja",3,Apartment,"₦15,500,000.00",Guzape,"15,500,000.00"
semi-detached duplex,"₦45,000,000","Wuse 2, Abuja",5,Duplex,"₦45,000,000.00",Wuse,"45,000,000.00"
flat / apartment,"₦9,000,000","By Gilmore, Jahi, Abuja",3,Apartment,"₦9,000,000.00",Jahi,"9,000,000.00"
terraced duplex,"₦6,000,000","Life Camp, Abuja",4,Duplex,"₦6,000,000.00",Life Camp,"6,000,000.00"
terraced duplex,"$50,000","By Bannex, Wuse 2, Abuja",4,Duplex,"₦67,748,500.00",Wuse,"67,748,500.00"
terraced duplex,"₦7,500,000","By Games Village, Kaura, Abuja",3,Duplex,"₦7,500,000.00",Kaura,"7,500,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦10,000,000","Area 1, Garki, Abuja",4,Duplex,"₦10,000,000.00",Garki,"10,000,000.00"
flat / apartment,"₦9,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦9,000,000.00",Katampe,"9,000,000.00"
detached duplex,"₦30,000,000","6th Avenue, Gwarinpa, Abuja",4,Duplex,"₦30,000,000.00",Gwarinpa,"30,000,000.00"
flat / apartment,"₦25,000,000","By Jimmy Carter, Asokoro District, Abuja",3,Apartment,"₦25,000,000.00",Asokoro,"25,000,000.00"
detached duplex,"₦90,000,000","Maitama District, Abuja",5,Duplex,"₦90,000,000.00",Maitama,"90,000,000.00"
semi-detached duplex,"₦17,000,000","Gilmor Area, Jahi, Abuja",4,Duplex,"₦17,000,000.00",Jahi,"17,000,000.00"
detached duplex,"₦140,000,000","Asokoro Main, Asokoro District, Abuja",10,Duplex,"₦140,000,000.00",Asokoro,"140,000,000.00"
flat / apartment,"$43,000","Jabi Main, Jabi, Abuja",3,Apartment,"₦58,263,710.00",Jabi,"58,263,710.00"
flat / apartment,"₦160,000,000","Serene Neighborhood, Wuse 2, Abuja",3,Apartment,"₦160,000,000.00",Wuse,"160,000,000.00"
flat / apartment,"₦5,000,000","By Dunamis Church, Durumi, Abuja",3,Apartment,"₦5,000,000.00",Durumi,"5,000,000.00"
flat / apartment,"₦6,000,000","Lugbe District, Abuja",2,Apartment,"₦6,000,000.00",Lugbe,"6,000,000.00"
house,"₦60,000,000","Jabi, Abuja",6,House,"₦60,000,000.00",Jabi,"60,000,000.00"
terraced duplex,"₦5,500,000","Brains And Hammers Estate, Life Camp, Abuja",4,Duplex,"₦5,500,000.00",Life Camp,"5,500,000.00"
detached bungalow,"₦5,500,000","Efab Queens Estate, Gwarinpa, Abuja",3,Bungalow,"₦5,500,000.00",Gwarinpa,"5,500,000.00"
flat / apartment,"₦8,000,000","Jahi, Abuja",2,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
flat / apartment,"₦5,000,000","Guzape District, Abuja",1,Apartment,"₦5,000,000.00",Guzape,"5,000,000.00"
flat / apartment,"₦15,000,000","Wuse 2, Abuja",2,Apartment,"₦15,000,000.00",Wuse,"15,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦25,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦25,000,000.00",Katampe,"25,000,000.00"
flat / apartment,"₦8,500,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦8,500,000.00",Katampe,"8,500,000.00"
flat / apartment,"₦3,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",1,Apartment,"₦3,000,000.00",Gwarinpa,"3,000,000.00"
flat / apartment,"₦7,500,000","Utako, Abuja",2,Apartment,"₦7,500,000.00",Utako,"7,500,000.00"
flat / apartment,"₦7,000,000","Fha/enl, Paradise Hills Estate, Guzape District, Abuja",2,Apartment,"₦7,000,000.00",Guzape,"7,000,000.00"
flat / apartment,"₦65,000,000","Idu Industrial, Abuja",2,Apartment,"₦65,000,000.00",Idu,"65,000,000.00"
flat / apartment,"₦25,000,000","Jabi, Abuja",3,Apartment,"₦25,000,000.00",Jabi,"25,000,000.00"
flat / apartment,"₦8,000,000","Guzape District, Abuja",2,Apartment,"₦8,000,000.00",Guzape,"8,000,000.00"
flat / apartment,"₦20,000,000","Guzape District, Abuja",2,Apartment,"₦20,000,000.00",Guzape,"20,000,000.00"
terraced duplex,"₦30,000,000","Utako, Abuja",4,Duplex,"₦30,000,000.00",Utako,"30,000,000.00"
house,"₦9,000,000","Naf Valley Estate, Asokoro District, Abuja",3,House,"₦9,000,000.00",Asokoro,"9,000,000.00"
flat / apartment,"₦4,000,000","By American International School, Durumi, Abuja",3,Apartment,"₦4,000,000.00",Durumi,"4,000,000.00"
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
flat / apartment,"₦14,000,000","Utako, Abuja",4,Apartment,"₦14,000,000.00",Utako,"14,000,000.00"
flat / apartment,"$40,000","Maitama District, Abuja",2,Apartment,"₦54,198,800.00",Maitama,"54,198,800.00"
flat / apartment,"₦4,000,000","3rd Avenue, Gwarinpa, Abuja",2,Apartment,"₦4,000,000.00",Gwarinpa,"4,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
semi-detached duplex,"₦25,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦25,000,000.00",Katampe,"25,000,000.00"
terraced duplex,"₦20,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦20,000,000.00",Katampe,"20,000,000.00"
terraced duplex,"₦25,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦25,000,000.00",Katampe,"25,000,000.00"
terraced duplex,"₦20,000,000","Mabushi, Abuja",4,Duplex,"₦20,000,000.00",Mabushi,"20,000,000.00"
detached duplex,"₦6,500,000","Von Estate Road, Lugbe District, Abuja",5,Duplex,"₦6,500,000.00",Lugbe,"6,500,000.00"
flat / apartment,"₦125,000,000","Wuye, Abuja",3,Apartment,"₦125,000,000.00",Wuye,"125,000,000.00"
terraced duplex,"$26,000","Jabi, Abuja",4,Duplex,"₦35,229,220.00",Jabi,"35,229,220.00"
semi-detached duplex,"₦16,000,000","1st Avenue, Gwarinpa, Abuja",4,Duplex,"₦16,000,000.00",Gwarinpa,"16,000,000.00"
flat / apartment,"₦3,500,000","Idu Industrial, Abuja",2,Apartment,"₦3,500,000.00",Idu,"3,500,000.00"
flat / apartment,"₦4,500,000","Kaura, Abuja",3,Apartment,"₦4,500,000.00",Kaura,"4,500,000.00"
flat / apartment,"₦6,000,000","Utako, Abuja",3,Apartment,"₦6,000,000.00",Utako,"6,000,000.00"
terraced duplex,"₦25,000,000","Mabushi, Abuja",4,Duplex,"₦25,000,000.00",Mabushi,"25,000,000.00"
detached duplex,"₦20,000,000","By Gilmore, Jahi, Abuja",4,Duplex,"₦20,000,000.00",Jahi,"20,000,000.00"
detached duplex,"₦30,000,000","Mabushi, Abuja",5,Duplex,"₦30,000,000.00",Mabushi,"30,000,000.00"
terraced duplex,"₦5,500,000","Life Camp, Abuja",4,Duplex,"₦5,500,000.00",Life Camp,"5,500,000.00"
detached duplex,"₦18,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦18,000,000.00",Jahi,"18,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦4,000,000","Castle View Estate, Dawaki, Gwarinpa, Abuja",2,Apartment,"₦4,000,000.00",Gwarinpa,"4,000,000.00"
terraced duplex,"₦30,000,000","Guzape District, Abuja",4,Duplex,"₦30,000,000.00",Guzape,"30,000,000.00"
terraced duplex,"₦45,000,000","Wuse 2, Abuja",4,Duplex,"₦45,000,000.00",Wuse,"45,000,000.00"
terraced duplex,"₦40,000,000","Wuse 2, Abuja",4,Duplex,"₦40,000,000.00",Wuse,"40,000,000.00"
detached duplex,"₦20,000,000","Garki, Abuja",5,Duplex,"₦20,000,000.00",Garki,"20,000,000.00"
terraced duplex,"₦20,000,000","6th Avenue, Gwarinpa, Abuja",4,Duplex,"₦20,000,000.00",Gwarinpa,"20,000,000.00"
semi-detached duplex,"₦7,000,000","Kado, Abuja",4,Duplex,"₦7,000,000.00",Kado,"7,000,000.00"
flat / apartment,"₦180,000,000","Maitama District, Abuja",3,Apartment,"₦180,000,000.00",Maitama,"180,000,000.00"
detached duplex,"₦70,000,000","Wuse 2, Abuja",7,Duplex,"₦70,000,000.00",Wuse,"70,000,000.00"
terraced duplex,"₦18,000,000","Wuye, Abuja",4,Duplex,"₦18,000,000.00",Wuye,"18,000,000.00"
house,"₦12,500,000","Jahi, Abuja",3,House,"₦12,500,000.00",Jahi,"12,500,000.00"
house,"₦75,000,000","Maitama District, Abuja",6,House,"₦75,000,000.00",Maitama,"75,000,000.00"
flat / apartment,"₦25,000,000","Guzape District, Abuja",4,Apartment,"₦25,000,000.00",Guzape,"25,000,000.00"
terraced duplex,"₦8,000,000","Jabi, Abuja",4,Duplex,"₦8,000,000.00",Jabi,"8,000,000.00"
flat / apartment,"₦8,000,000","By American International School, Durumi, Abuja",3,Apartment,"₦8,000,000.00",Durumi,"8,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦16,000,000","Apo Resettlement, Apo, Abuja",2,Apartment,"₦16,000,000.00",Apo,"16,000,000.00"
terraced duplex,"₦6,000,000","Apo Resettlement, Apo, Abuja",3,Duplex,"₦6,000,000.00",Apo,"6,000,000.00"
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
house,"₦60,000,000","Maitama District, Abuja",4,House,"₦60,000,000.00",Maitama,"60,000,000.00"
semi-detached duplex,"₦10,000,000","Kado, Abuja",4,Duplex,"₦10,000,000.00",Kado,"10,000,000.00"
terraced duplex,"₦15,000,000","Mabushi, Abuja",5,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
flat / apartment,"₦3,500,000","Area 1 Axis., Durumi, Abuja",2,Apartment,"₦3,500,000.00",Durumi,"3,500,000.00"
detached duplex,"₦25,000,000","Asokoro District, Abuja",4,Duplex,"₦25,000,000.00",Asokoro,"25,000,000.00"
flat / apartment,"₦6,500,000","Jahi, Abuja",3,Apartment,"₦6,500,000.00",Jahi,"6,500,000.00"
semi-detached duplex,"₦17,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦17,000,000.00",Jahi,"17,000,000.00"
flat / apartment,"₦8,000,000","Off Ibb Way, Maitama District, Abuja",2,Apartment,"₦8,000,000.00",Maitama,"8,000,000.00"
terraced duplex,"₦35,000,000","Wuse 2, Abuja",4,Duplex,"₦35,000,000.00",Wuse,"35,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦30,000,000","Zone 7, Wuse, Abuja",4,Duplex,"₦30,000,000.00",Wuse,"30,000,000.00"
terraced duplex,"₦15,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦15,000,000.00",Katampe,"15,000,000.00"
flat / apartment,"₦240,000,000","Katampe Extension, Katampe Extension, Katampe, Abuja",4,Apartment,"₦240,000,000.00",Katampe,"240,000,000.00"
terraced duplex,"₦160,000,000","Katampe (Main), Katampe, Abuja",2,Duplex,"₦160,000,000.00",Katampe,"160,000,000.00"
flat / apartment,"₦7,000,000","Austin Chibuzor Street, Katampe (Main), Katampe, Abuja",3,Apartment,"₦7,000,000.00",Katampe,"7,000,000.00"
terraced duplex,"₦40,000,000","Maitama District, Abuja",3,Duplex,"₦40,000,000.00",Maitama,"40,000,000.00"
terraced duplex,"₦20,000,000","Mabushi, Abuja",5,Duplex,"₦20,000,000.00",Mabushi,"20,000,000.00"
detached duplex,"$200,000","Maitama District, Abuja",10,Duplex,"₦270,994,000.00",Maitama,"270,994,000.00"
terraced duplex,"₦30,000,000","Katampe, Abuja",4,Duplex,"₦30,000,000.00",Katampe,"30,000,000.00"
house,"₦375,000,000","Asokoro Main, Asokoro District, Abuja",20,House,"₦375,000,000.00",Asokoro,"375,000,000.00"
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00",Guzape,"15,000,000.00"
terraced duplex,"₦12,000,000","Katampe, Abuja",4,Duplex,"₦12,000,000.00",Katampe,"12,000,000.00"
flat / apartment,"₦6,000,000","Lugbe District, Abuja",2,Apartment,"₦6,000,000.00",Lugbe,"6,000,000.00"
flat / apartment,"₦25,000,000","Asokoro District, Abuja",2,Apartment,"₦25,000,000.00",Asokoro,"25,000,000.00"
terraced duplex,"₦35,000,000","Maitama District, Abuja",4,Duplex,"₦35,000,000.00",Maitama,"35,000,000.00"
terraced duplex,"₦15,000,000","Naf Valley Estate, Asokoro District, Abuja",3,Duplex,"₦15,000,000.00",Asokoro,"15,000,000.00"
terraced duplex,"₦60,000,000","Maitama District, Abuja",4,Duplex,"₦60,000,000.00",Maitama,"60,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦12,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",3,Apartment,"₦12,000,000.00",Katampe,"12,000,000.00"
detached duplex,"₦17,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",5,Duplex,"₦17,000,000.00",Katampe,"17,000,000.00"
terraced duplex,"₦40,000,000","Maitama District, Abuja",3,Duplex,"₦40,000,000.00",Maitama,"40,000,000.00"
detached duplex,"$35,000","Jabi, Abuja",4,Duplex,"₦47,423,950.00",Jabi,"47,423,950.00"
terraced duplex,"₦12,000,000","Guzape District, Abuja",4,Duplex,"₦12,000,000.00",Guzape,"12,000,000.00"
flat / apartment,"₦6,000,000","By Arab, Utako, Abuja",3,Apartment,"₦6,000,000.00",Utako,"6,000,000.00"
flat / apartment,"$40,000","Maitama District, Abuja",2,Apartment,"₦54,198,800.00",Maitama,"54,198,800.00"
flat / apartment,"$45,000","Maitama District, Abuja",3,Apartment,"₦60,973,650.00",Maitama,"60,973,650.00"
terraced duplex,"₦53,000,000","Maitama District, Abuja",3,Duplex,"₦53,000,000.00",Maitama,"53,000,000.00"
terraced duplex,"$65,000","Maitama District, Abuja",3,Duplex,"₦88,073,050.00",Maitama,"88,073,050.00"
terraced duplex,"₦30,000,000","Mabushi, Abuja",5,Duplex,"₦30,000,000.00",Mabushi,"30,000,000.00"
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
terraced duplex,"₦30,000,000","Mabushi, Abuja",5,Duplex,"₦30,000,000.00",Mabushi,"30,000,000.00"
detached duplex,"₦20,000,000","Guzape District, Abuja",4,Duplex,"₦20,000,000.00",Guzape,"20,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦40,000,000","Jabi, Abuja",4,Apartment,"₦40,000,000.00",Jabi,"40,000,000.00"
flat / apartment,"$33,000","Jabi, Abuja",2,Apartment,"₦44,714,010.00",Jabi,"44,714,010.00"
flat / apartment,"₦20,000,000","Guzape Main, Guzape District, Abuja",2,Apartment,"₦20,000,000.00",Guzape,"20,000,000.00"
house,"₦68,000,000","Wuse, Abuja",3,House,"₦68,000,000.00",Wuse,"68,000,000.00"
house,"₦15,000,000","Wuse 2, Abuja",3,House,"₦15,000,000.00",Wuse,"15,000,000.00"
flat / apartment,"$45,000","Wuse 2, Abuja",3,Apartment,"₦60,973,650.00",Wuse,"60,973,650.00"
flat / apartment,"₦15,000,000","Wuse 2, Abuja",3,Apartment,"₦15,000,000.00",Wuse,"15,000,000.00"
flat / apartment,"₦5,000,000","Utako, Abuja",3,Apartment,"₦5,000,000.00",Utako,"5,000,000.00"
house,"₦30,000,000","Guzape District, Abuja",3,House,"₦30,000,000.00",Guzape,"30,000,000.00"
flat / apartment,"$50,000","Asokoro District, Abuja",2,Apartment,"₦67,748,500.00",Asokoro,"67,748,500.00"
detached duplex,"₦50,000,000","Diplomatic Zone, Asokoro District, Abuja",6,Duplex,"₦50,000,000.00",Asokoro,"50,000,000.00"
semi-detached duplex,"₦25,000,000","Wuye Main., Wuye, Abuja",4,Duplex,"₦25,000,000.00",Wuye,"25,000,000.00"
flat / apartment,"₦15,000,000","Katampe, Abuja",2,Apartment,"₦15,000,000.00",Katampe,"15,000,000.00"
flat / apartment,"₦4,500,000","Jahi, Abuja",1,Apartment,"₦4,500,000.00",Jahi,"4,500,000.00"
flat / apartment,"₦6,000,000","Jahi, Abuja",2,Apartment,"₦6,000,000.00",Jahi,"6,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
semi-detached duplex,"₦20,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦20,000,000.00",Katampe,"20,000,000.00"
detached duplex,"₦12,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦12,000,000.00",Katampe,"12,000,000.00"
terraced duplex,"₦320,000,000","Opposite Ministers Hill, Katampe (Main), Katampe, Abuja",5,Duplex,"₦320,000,000.00",Katampe,"320,000,000.00"
flat / apartment,"$28,000","Diplomatic Zone, Jabi, Abuja",2,Apartment,"₦37,939,160.00",Jabi,"37,939,160.00"
terraced duplex,"₦20,000,000","Gilmore,very Close To Wuse 2, Jahi, Abuja",5,Duplex,"₦20,000,000.00",Wuse,"20,000,000.00"
terraced duplex,"₦17,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦17,000,000.00",Jahi,"17,000,000.00"
terraced duplex,"$35,000","By Transcorp Hilton, Maitama District, Abuja",3,Duplex,"₦47,423,950.00",Maitama,"47,423,950.00"
flat / apartment,"₦5,000,000","Main (tarred Road), Wuye, Abuja",2,Apartment,"₦5,000,000.00",Wuye,"5,000,000.00"
flat / apartment,"₦8,000,000","Admiralty (cbn) Estate, Asokoro District, Abuja",3,Apartment,"₦8,000,000.00",Asokoro,"8,000,000.00"
terraced duplex,"₦19,000,000","Utako, Abuja",4,Duplex,"₦19,000,000.00",Utako,"19,000,000.00"
detached duplex,"₦15,000,000","Gwarinpa, Abuja",5,Duplex,"₦15,000,000.00",Gwarinpa,"15,000,000.00"
terraced duplex,"₦18,000,000","Kado, Abuja",5,Duplex,"₦18,000,000.00",Kado,"18,000,000.00"
terraced duplex,"₦20,000,000","Mabushi, Abuja",4,Duplex,"₦20,000,000.00",Mabushi,"20,000,000.00"
terraced duplex,"₦40,000,000","Wuse 2, Abuja",4,Duplex,"₦40,000,000.00",Wuse,"40,000,000.00"
flat / apartment,"₦55,000,000","Maitama District, Abuja",3,Apartment,"₦55,000,000.00",Maitama,"55,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦4,500,000","Area 1, Garki, Abuja",2,Apartment,"₦4,500,000.00",Garki,"4,500,000.00"
flat / apartment,"₦8,000,000","Area 11, Garki, Abuja",4,Apartment,"₦8,000,000.00",Garki,"8,000,000.00"
terraced duplex,"₦6,000,000","Apo Resettlement, Apo, Abuja",3,Duplex,"₦6,000,000.00",Apo,"6,000,000.00"
detached bungalow,"₦16,000,000","Zone A, Apo Resettlement, Apo, Abuja",2,Bungalow,"₦16,000,000.00",Apo,"16,000,000.00"
terraced duplex,"₦15,000,000","Sentinel Crescent, Durumi, Abuja",4,Duplex,"₦15,000,000.00",Durumi,"15,000,000.00"
mini flat (room and parlour),"₦3,500,000","2nd Avenue, Gwarinpa, Abuja",1,Apartment,"₦3,500,000.00",Gwarinpa,"3,500,000.00"
