Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),Price(Float),District
flat / apartment,"₦4,000,000","Dawaki, Gwarinpa, Abuja",3,Apartment,"₦4,000,000.00","4,000,000.00",Gwarinpa
flat / apartment,"₦2,500,000","New Site Estate, FHA (F.H.A), Lugbe District, Abuja",2,Apartment,"₦2,500,000.00","2,500,000.00",Lugbe
detached duplex,"₦6,000,000","Behind Dunamis, Lugbe District, Abuja",4,Duplex,"₦6,000,000.00","6,000,000.00",Lugbe
detached duplex,"₦7,000,000","Lugbe District, Abuja",5,Duplex,"₦7,000,000.00","7,000,000.00",Lugbe
terraced duplex,"₦13,000,000","Kaura, Abuja",5,Duplex,"₦13,000,000.00","13,000,000.00",Kaura
flat / apartment,"₦11,000,000","Jahi, Abuja",2,Apartment,"₦11,000,000.00","11,000,000.00",Jahi
flat / apartment,"₦7,000,000","Jabi Mall, Jabi, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Jabi
detached duplex,"₦10,000,000","Along Von Road, Lugbe District, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Lugbe
detached duplex,"₦20,000,000","Kado, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Kado
detached bungalow,"₦5,000,000","Area 1 Axis., Durumi, Abuja",3,Bungalow,"₦5,000,000.00","5,000,000.00",Durumi
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
detached duplex,"₦20,000,000","Jahi, Jahi, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦8,000,000","Gimbia Street, Area 11, Garki, Abuja",4,Apartment,"₦8,000,000.00","8,000,000.00",Garki
flat / apartment,"₦30,000,000","Area 11, Garki, Abuja",3,Apartment,"₦30,000,000.00","30,000,000.00",Garki
detached duplex,"₦30,000,000","Katampe Extension, Katampe, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Katampe
terraced duplex,"₦15,000,000","Katampe (Main), Katampe, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Katampe
terraced duplex,"₦17,500,000","Naf Valley Estate, Asokoro District, Abuja",3,Duplex,"₦17,500,000.00","17,500,000.00",Asokoro
flat / apartment,"$40,000","Maitama District, Abuja",2,Apartment,"₦54,198,800.00","54,198,800.00",Maitama
flat / apartment,"₦15,000,000","Guzape District, Abuja",2,Apartment,"₦15,000,000.00","15,000,000.00",Guzape
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
flat / apartment,"₦8,500,000","Utako, Abuja",3,Apartment,"₦8,500,000.00","8,500,000.00",Utako
detached duplex,"₦90,000,000","Maitama District, Abuja",5,Duplex,"₦90,000,000.00","90,000,000.00",Maitama
detached duplex,"₦45,000,000","Maitama District, Abuja",5,Duplex,"₦45,000,000.00","45,000,000.00",Maitama
flat / apartment,"₦7,000,000","Jabi Airport Junction Road 10mins To Fmc, Mbora (Nbora), Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Jabi
semi-detached duplex,"₦17,000,000","Naffvalley Estate, Asokoro District, Abuja",4,Duplex,"₦17,000,000.00","17,000,000.00",Asokoro
detached duplex,"₦45,000,000","Asokoro District, Abuja",4,Duplex,"₦45,000,000.00","45,000,000.00",Asokoro
flat / apartment,"₦18,000,000","Utako, Abuja",2,Apartment,"₦18,000,000.00","18,000,000.00",Utako
semi-detached duplex,"₦15,000,000","Asokoro Main By Ty Danjuma., Asokoro District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Asokoro
detached duplex,"₦50,000,000","Asokoro District, Abuja",5,Duplex,"₦50,000,000.00","50,000,000.00",Asokoro
detached duplex,"₦20,000,000","By Gilmor, Jahi, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
semi-detached bungalow,"₦2,000,000","FHA (F.H.A), Lugbe District, Abuja",2,Bungalow,"₦2,000,000.00","2,000,000.00",Lugbe
flat / apartment,"₦4,000,000","Lugbe District, Abuja",1,Apartment,"₦4,000,000.00","4,000,000.00",Lugbe
flat / apartment,"₦150,000,000","Jabi, Abuja",2,Apartment,"₦150,000,000.00","150,000,000.00",Jabi
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
flat / apartment,"₦35,000,000","Maitama District, Abuja",3,Apartment,"₦35,000,000.00","35,000,000.00",Maitama
detached duplex,"₦15,000,000","River Park Estate, Airport Road, Lugbe District, Abuja",3,Duplex,"₦15,000,000.00","15,000,000.00",Lugbe
terraced duplex,"₦12,000,000","American International School, Durumi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Durumi
detached duplex,"₦7,000,000","Gwarinpa Extension, Gwarinpa, Abuja",4,Duplex,"₦7,000,000.00","7,000,000.00",Gwarinpa
flat / apartment,"₦4,000,000","River Park, Lugbe District, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Lugbe
detached duplex,"₦100,000,000","Maitama District, Abuja",4,Duplex,"₦100,000,000.00","100,000,000.00",Maitama
terraced duplex,"₦100,000,000","Utako, Abuja",4,Duplex,"₦100,000,000.00","100,000,000.00",Utako
detached duplex,"₦12,000,000","Life Camp, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Life Camp
terraced duplex,"₦8,000,000","Customs Quarters, Idu Industrial, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Idu
terraced duplex,"₦15,000,000","Katampe, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Katampe
terraced duplex,"₦400,000,000","Gilmore, Jahi, Abuja",5,Duplex,"₦400,000,000.00","400,000,000.00",Jahi
flat / apartment,"₦10,000,000","Jahi, Abuja",2,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
detached duplex,"₦35,000,000","Zone 2, Wuse, Abuja",6,Duplex,"₦35,000,000.00","35,000,000.00",Wuse
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
detached duplex,"₦6,500,000","News Engineering, Dawaki, Gwarinpa, Abuja",4,Duplex,"₦6,500,000.00","6,500,000.00",Gwarinpa
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
flat / apartment,"₦38,000,000","Maitama District, Abuja",3,Apartment,"₦38,000,000.00","38,000,000.00",Maitama
flat / apartment,"₦15,000,000","By Aso Radio, Katampe, Abuja",2,Apartment,"₦15,000,000.00","15,000,000.00",Katampe
terraced duplex,"₦15,000,000","Asokoro District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Asokoro
flat / apartment,"₦20,000,000","Guzape District, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Guzape
flat / apartment,"₦15,500,000","Guzape District, Abuja",3,Apartment,"₦15,500,000.00","15,500,000.00",Guzape
semi-detached duplex,"₦45,000,000","Wuse 2, Abuja",5,Duplex,"₦45,000,000.00","45,000,000.00",Wuse
flat / apartment,"₦9,000,000","By Gilmore, Jahi, Abuja",3,Apartment,"₦9,000,000.00","9,000,000.00",Jahi
terraced duplex,"₦6,000,000","Life Camp, Abuja",4,Duplex,"₦6,000,000.00","6,000,000.00",Life Camp
terraced duplex,"$50,000","By Bannex, Wuse 2, Abuja",4,Duplex,"₦67,748,500.00","67,748,500.00",Wuse
terraced duplex,"₦7,500,000","By Games Village, Kaura, Abuja",3,Duplex,"₦7,500,000.00","7,500,000.00",Kaura
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦10,000,000","Area 1, Garki, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Garki
flat / apartment,"₦9,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦9,000,000.00","9,000,000.00",Katampe
detached duplex,"₦30,000,000","6th Avenue, Gwarinpa, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Gwarinpa
flat / apartment,"₦25,000,000","By Jimmy Carter, Asokoro District, Abuja",3,Apartment,"₦25,000,000.00","25,000,000.00",Asokoro
detached duplex,"₦90,000,000","Maitama District, Abuja",5,Duplex,"₦90,000,000.00","90,000,000.00",Maitama
semi-detached duplex,"₦17,000,000","Gilmor Area, Jahi, Abuja",4,Duplex,"₦17,000,000.00","17,000,000.00",Jahi
detached duplex,"₦140,000,000","Asokoro Main, Asokoro District, Abuja",10,Duplex,"₦140,000,000.00","140,000,000.00",Asokoro
flat / apartment,"$43,000","Jabi Main, Jabi, Abuja",3,Apartment,"₦58,263,710.00","58,263,710.00",Jabi
flat / apartment,"₦160,000,000","Serene Neighborhood, Wuse 2, Abuja",3,Apartment,"₦160,000,000.00","160,000,000.00",Wuse
flat / apartment,"₦5,000,000","By Dunamis Church, Durumi, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Durumi
flat / apartment,"₦6,000,000","Lugbe District, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Lugbe
detached duplex,"₦60,000,000","Jabi, Abuja",6,Duplex,"₦60,000,000.00","60,000,000.00",Jabi
terraced duplex,"₦5,500,000","Brains And Hammers Estate, Life Camp, Abuja",4,Duplex,"₦5,500,000.00","5,500,000.00",Life Camp
detached bungalow,"₦5,500,000","Efab Queens Estate, Gwarinpa, Abuja",3,Bungalow,"₦5,500,000.00","5,500,000.00",Gwarinpa
flat / apartment,"₦8,000,000","Jahi, Abuja",2,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
flat / apartment,"₦5,000,000","Guzape District, Abuja",1,Apartment,"₦5,000,000.00","5,000,000.00",Guzape
flat / apartment,"₦15,000,000","Wuse 2, Abuja",2,Apartment,"₦15,000,000.00","15,000,000.00",Wuse
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦25,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
flat / apartment,"₦8,500,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦8,500,000.00","8,500,000.00",Katampe
flat / apartment,"₦3,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",1,Apartment,"₦3,000,000.00","3,000,000.00",Gwarinpa
flat / apartment,"₦7,500,000","Utako, Abuja",2,Apartment,"₦7,500,000.00","7,500,000.00",Utako
flat / apartment,"₦7,000,000","Fha/enl, Paradise Hills Estate, Guzape District, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Guzape
flat / apartment,"₦65,000,000","Idu Industrial, Abuja",2,Apartment,"₦65,000,000.00","65,000,000.00",Idu
flat / apartment,"₦25,000,000","Jabi, Abuja",3,Apartment,"₦25,000,000.00","25,000,000.00",Jabi
flat / apartment,"₦8,000,000","Guzape District, Abuja",2,Apartment,"₦8,000,000.00","8,000,000.00",Guzape
flat / apartment,"₦20,000,000","Guzape District, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Guzape
terraced duplex,"₦30,000,000","Utako, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Utako
detached bungalow,"₦9,000,000","Naf Valley Estate, Asokoro District, Abuja",3,Bungalow,"₦9,000,000.00","9,000,000.00",Asokoro
flat / apartment,"₦4,000,000","By American International School, Durumi, Abuja",3,Apartment,"₦4,000,000.00","4,000,000.00",Durumi
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
flat / apartment,"₦14,000,000","Utako, Abuja",4,Apartment,"₦14,000,000.00","14,000,000.00",Utako
flat / apartment,"$40,000","Maitama District, Abuja",2,Apartment,"₦54,198,800.00","54,198,800.00",Maitama
flat / apartment,"₦4,000,000","3rd Avenue, Gwarinpa, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Gwarinpa
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
semi-detached duplex,"₦25,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
terraced duplex,"₦20,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
terraced duplex,"₦25,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
terraced duplex,"₦20,000,000","Mabushi, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Mabushi
detached duplex,"₦6,500,000","Von Estate Road, Lugbe District, Abuja",5,Duplex,"₦6,500,000.00","6,500,000.00",Lugbe
flat / apartment,"₦125,000,000","Wuye, Abuja",3,Apartment,"₦125,000,000.00","125,000,000.00",Wuye
terraced duplex,"$26,000","Jabi, Abuja",4,Duplex,"₦35,229,220.00","35,229,220.00",Jabi
semi-detached duplex,"₦16,000,000","1st Avenue, Gwarinpa, Abuja",4,Duplex,"₦16,000,000.00","16,000,000.00",Gwarinpa
flat / apartment,"₦3,500,000","Idu Industrial, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Idu
flat / apartment,"₦4,500,000","Kaura, Abuja",3,Apartment,"₦4,500,000.00","4,500,000.00",Kaura
flat / apartment,"₦6,000,000","Utako, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Utako
terraced duplex,"₦25,000,000","Mabushi, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Mabushi
detached duplex,"₦20,000,000","By Gilmore, Jahi, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Jahi
detached duplex,"₦30,000,000","Mabushi, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Mabushi
terraced duplex,"₦5,500,000","Life Camp, Abuja",4,Duplex,"₦5,500,000.00","5,500,000.00",Life Camp
detached duplex,"₦18,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦18,000,000.00","18,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦4,000,000","Castle View Estate, Dawaki, Gwarinpa, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Gwarinpa
terraced duplex,"₦30,000,000","Guzape District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Guzape
terraced duplex,"₦45,000,000","Wuse 2, Abuja",4,Duplex,"₦45,000,000.00","45,000,000.00",Wuse
terraced duplex,"₦40,000,000","Wuse 2, Abuja",4,Duplex,"₦40,000,000.00","40,000,000.00",Wuse
detached duplex,"₦20,000,000","Garki, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Garki
terraced duplex,"₦20,000,000","6th Avenue, Gwarinpa, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Gwarinpa
semi-detached duplex,"₦7,000,000","Kado, Abuja",4,Duplex,"₦7,000,000.00","7,000,000.00",Kado
flat / apartment,"₦180,000,000","Maitama District, Abuja",3,Apartment,"₦180,000,000.00","180,000,000.00",Maitama
detached duplex,"₦70,000,000","Wuse 2, Abuja",7,Duplex,"₦70,000,000.00","70,000,000.00",Wuse
terraced duplex,"₦18,000,000","Wuye, Abuja",4,Duplex,"₦18,000,000.00","18,000,000.00",Wuye
detached bungalow,"₦12,500,000","Jahi, Abuja",3,Bungalow,"₦12,500,000.00","12,500,000.00",Jahi
detached duplex,"₦75,000,000","Maitama District, Abuja",6,Duplex,"₦75,000,000.00","75,000,000.00",Maitama
flat / apartment,"₦25,000,000","Guzape District, Abuja",4,Apartment,"₦25,000,000.00","25,000,000.00",Guzape
terraced duplex,"₦8,000,000","Jabi, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Jabi
flat / apartment,"₦8,000,000","By American International School, Durumi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Durumi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦16,000,000","Apo Resettlement, Apo, Abuja",2,Apartment,"₦16,000,000.00","16,000,000.00",Apo
terraced duplex,"₦6,000,000","Apo Resettlement, Apo, Abuja",3,Duplex,"₦6,000,000.00","6,000,000.00",Apo
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
detached duplex,"₦60,000,000","Maitama District, Abuja",4,Duplex,"₦60,000,000.00","60,000,000.00",Maitama
semi-detached duplex,"₦10,000,000","Kado, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Kado
terraced duplex,"₦15,000,000","Mabushi, Abuja",5,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
flat / apartment,"₦3,500,000","Area 1 Axis., Durumi, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Durumi
detached duplex,"₦25,000,000","Asokoro District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Asokoro
flat / apartment,"₦6,500,000","Jahi, Abuja",3,Apartment,"₦6,500,000.00","6,500,000.00",Jahi
semi-detached duplex,"₦17,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦17,000,000.00","17,000,000.00",Jahi
flat / apartment,"₦8,000,000","Off Ibb Way, Maitama District, Abuja",2,Apartment,"₦8,000,000.00","8,000,000.00",Maitama
terraced duplex,"₦35,000,000","Wuse 2, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Wuse
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦30,000,000","Zone 7, Wuse, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Wuse
terraced duplex,"₦15,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Katampe
flat / apartment,"₦240,000,000","Katampe Extension, Katampe Extension, Katampe, Abuja",4,Apartment,"₦240,000,000.00","240,000,000.00",Katampe
terraced duplex,"₦160,000,000","Katampe (Main), Katampe, Abuja",2,Duplex,"₦160,000,000.00","160,000,000.00",Katampe
flat / apartment,"₦7,000,000","Austin Chibuzor Street, Katampe (Main), Katampe, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Katampe
terraced duplex,"₦40,000,000","Maitama District, Abuja",3,Duplex,"₦40,000,000.00","40,000,000.00",Maitama
terraced duplex,"₦20,000,000","Mabushi, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Mabushi
detached duplex,"$200,000","Maitama District, Abuja",10,Duplex,"₦270,994,000.00","270,994,000.00",Maitama
terraced duplex,"₦30,000,000","Katampe, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Katampe
detached duplex,"₦375,000,000","Asokoro Main, Asokoro District, Abuja",20,Duplex,"₦375,000,000.00","375,000,000.00",Asokoro
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
terraced duplex,"₦12,000,000","Katampe, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Katampe
flat / apartment,"₦6,000,000","Lugbe District, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Lugbe
flat / apartment,"₦25,000,000","Asokoro District, Abuja",2,Apartment,"₦25,000,000.00","25,000,000.00",Asokoro
terraced duplex,"₦35,000,000","Maitama District, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Maitama
terraced duplex,"₦15,000,000","Naf Valley Estate, Asokoro District, Abuja",3,Duplex,"₦15,000,000.00","15,000,000.00",Asokoro
terraced duplex,"₦60,000,000","Maitama District, Abuja",4,Duplex,"₦60,000,000.00","60,000,000.00",Maitama
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦12,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Katampe
detached duplex,"₦17,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",5,Duplex,"₦17,000,000.00","17,000,000.00",Katampe
terraced duplex,"₦40,000,000","Maitama District, Abuja",3,Duplex,"₦40,000,000.00","40,000,000.00",Maitama
detached duplex,"$35,000","Jabi, Abuja",4,Duplex,"₦47,423,950.00","47,423,950.00",Jabi
terraced duplex,"₦12,000,000","Guzape District, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Guzape
flat / apartment,"₦6,000,000","By Arab, Utako, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Utako
flat / apartment,"$40,000","Maitama District, Abuja",2,Apartment,"₦54,198,800.00","54,198,800.00",Maitama
flat / apartment,"$45,000","Maitama District, Abuja",3,Apartment,"₦60,973,650.00","60,973,650.00",Maitama
terraced duplex,"₦53,000,000","Maitama District, Abuja",3,Duplex,"₦53,000,000.00","53,000,000.00",Maitama
terraced duplex,"$65,000","Maitama District, Abuja",3,Duplex,"₦88,073,050.00","88,073,050.00",Maitama
terraced duplex,"₦30,000,000","Mabushi, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Mabushi
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
terraced duplex,"₦30,000,000","Mabushi, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Mabushi
detached duplex,"₦20,000,000","Guzape District, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Guzape
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦40,000,000","Jabi, Abuja",4,Apartment,"₦40,000,000.00","40,000,000.00",Jabi
flat / apartment,"$33,000","Jabi, Abuja",2,Apartment,"₦44,714,010.00","44,714,010.00",Jabi
flat / apartment,"₦20,000,000","Guzape Main, Guzape District, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Guzape
detached bungalow,"₦68,000,000","Wuse, Abuja",3,Bungalow,"₦68,000,000.00","68,000,000.00",Wuse
detached bungalow,"₦15,000,000","Wuse 2, Abuja",3,Bungalow,"₦15,000,000.00","15,000,000.00",Wuse
flat / apartment,"$45,000","Wuse 2, Abuja",3,Apartment,"₦60,973,650.00","60,973,650.00",Wuse
flat / apartment,"₦15,000,000","Wuse 2, Abuja",3,Apartment,"₦15,000,000.00","15,000,000.00",Wuse
flat / apartment,"₦5,000,000","Utako, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Utako
detached bungalow,"₦30,000,000","Guzape District, Abuja",3,Bungalow,"₦30,000,000.00","30,000,000.00",Guzape
flat / apartment,"$50,000","Asokoro District, Abuja",2,Apartment,"₦67,748,500.00","67,748,500.00",Asokoro
detached duplex,"₦50,000,000","Diplomatic Zone, Asokoro District, Abuja",6,Duplex,"₦50,000,000.00","50,000,000.00",Asokoro
semi-detached duplex,"₦25,000,000","Wuye Main., Wuye, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Wuye
flat / apartment,"₦15,000,000","Katampe, Abuja",2,Apartment,"₦15,000,000.00","15,000,000.00",Katampe
flat / apartment,"₦4,500,000","Jahi, Abuja",1,Apartment,"₦4,500,000.00","4,500,000.00",Jahi
flat / apartment,"₦6,000,000","Jahi, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
semi-detached duplex,"₦20,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
detached duplex,"₦12,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Katampe
terraced duplex,"₦320,000,000","Opposite Ministers Hill, Katampe (Main), Katampe, Abuja",5,Duplex,"₦320,000,000.00","320,000,000.00",Katampe
flat / apartment,"$28,000","Diplomatic Zone, Jabi, Abuja",2,Apartment,"₦37,939,160.00","37,939,160.00",Jabi
terraced duplex,"₦20,000,000","Gilmore,very Close To Wuse 2, Jahi, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Wuse
terraced duplex,"₦17,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦17,000,000.00","17,000,000.00",Jahi
terraced duplex,"$35,000","By Transcorp Hilton, Maitama District, Abuja",3,Duplex,"₦47,423,950.00","47,423,950.00",Maitama
flat / apartment,"₦5,000,000","Main (tarred Road), Wuye, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Wuye
flat / apartment,"₦8,000,000","Admiralty (cbn) Estate, Asokoro District, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Asokoro
terraced duplex,"₦19,000,000","Utako, Abuja",4,Duplex,"₦19,000,000.00","19,000,000.00",Utako
detached duplex,"₦15,000,000","Gwarinpa, Abuja",5,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
terraced duplex,"₦18,000,000","Kado, Abuja",5,Duplex,"₦18,000,000.00","18,000,000.00",Kado
terraced duplex,"₦20,000,000","Mabushi, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Mabushi
terraced duplex,"₦40,000,000","Wuse 2, Abuja",4,Duplex,"₦40,000,000.00","40,000,000.00",Wuse
flat / apartment,"₦55,000,000","Maitama District, Abuja",3,Apartment,"₦55,000,000.00","55,000,000.00",Maitama
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦4,500,000","Area 1, Garki, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Garki
flat / apartment,"₦8,000,000","Area 11, Garki, Abuja",4,Apartment,"₦8,000,000.00","8,000,000.00",Garki
terraced duplex,"₦6,000,000","Apo Resettlement, Apo, Abuja",3,Duplex,"₦6,000,000.00","6,000,000.00",Apo
detached bungalow,"₦16,000,000","Zone A, Apo Resettlement, Apo, Abuja",2,Bungalow,"₦16,000,000.00","16,000,000.00",Apo
terraced duplex,"₦15,000,000","Sentinel Crescent, Durumi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Durumi
mini flat (room and parlour),"₦3,500,000","2nd Avenue, Gwarinpa, Abuja",1,Apartment,"₦3,500,000.00","3,500,000.00",Gwarinpa
flat / apartment,"₦35,000,000","Ministers Hills, Maitama District, Abuja",2,Apartment,"₦35,000,000.00","35,000,000.00",Maitama
flat / apartment,"₦6,000,000","Area 1 Axis., Durumi, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Durumi
terraced duplex,"₦19,000,000","Utako, Abuja",4,Duplex,"₦19,000,000.00","19,000,000.00",Utako
flat / apartment,"₦10,000,000","By Gilmore, Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
terraced duplex,"₦13,000,000","Diplomatic Zone, Life Camp, Abuja",3,Duplex,"₦13,000,000.00","13,000,000.00",Life Camp
