,Price,Location,Bedrooms(s),Property Type,Property Category,District,Price_Cleaned,Price(Converted_to_naira),Price(Float)
1653,"₦ 6,000,000",Gwarimpa Main Gwarinpa Abuja,3,A Newly Built Flat,Apartment,Gwarinpa,"₦ 6,000,000","₦6,000,000.00",6000000.0
1654,"₦ 5,000,000",Off 3rd Avenue Gwarinpa Abuja,,A Classic Shop In A Mall,,Gwarinpa,"₦ 5,000,000","₦5,000,000.00",5000000.0
1655,"₦ 5,000,000",Gwarimpa Main Gwarinpa Abuja,,A Standard Shop Space,,Gwarinpa,"₦ 5,000,000","₦5,000,000.00",5000000.0
1656,"₦ 3,500,000","Karsana, Gwarimpa Extension Gwarinpa Abuja",1,A Brand New Luxury Flat (2 Toilets),Apartment,Gwarinpa,"₦ 3,500,000","₦3,500,000.00",3500000.0
1657,"₦ 9,000,000",Gwarinpa Abuja,5,A Semi Detached Du,,Gwarinpa,"₦ 9,000,000","₦9,000,000.00",9000000.0
1658,"₦ 8,000,000/year",3rd Avenue Gwarinpa Abuja,,Restaurant,,Gwarinpa,"₦ 8,000,000","₦8,000,000.00",8000000.0
1659,"₦ 5,000,000/year",Gwarimpa Main Gwarinpa Abuja,,A Standard Well Located Shop Space,,Gwarinpa,"₦ 5,000,000","₦5,000,000.00",5000000.0
1660,"₦ 12,000,000/year",4th Avenue Gwarinpa Abuja,,Double Shop Space,,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
1661,"₦ 12,000,000",3rd Avenue Gwarinpa Abuja,4,A Semi Detached Duplex With Bq,Duplex,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
1662,"₦ 1,700,000/year","Efab Queens Estate, Gwarinpa Abuja",,A Room Self Contained,Apartment,Gwarinpa,"₦ 1,700,000","₦1,700,000.00",1700000.0
1663,"₦ 5,000,000",Gwarimpa Main Gwarinpa Abuja,2,A Newly Built Flat,Apartment,Gwarinpa,"₦ 5,000,000","₦5,000,000.00",5000000.0
1664,"₦ 15,000,000/year","6th Avenue, Gwarinpa Abuja",4,Fully Detached Duplex,Duplex,Gwarinpa,"₦ 15,000,000","₦15,000,000.00",15000000.0
1665,"₦ 1,500,000/year",6th Avenue Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
1666,"₦ 5,500,000/year",Brick N More Plaza Gwarinpa Abuja,,Shop Space,,Gwarinpa,"₦ 5,500,000","₦5,500,000.00",5500000.0
1667,"₦ 12,000,000/year",4th Avenue Main Road Gwarinpa Abuja,,Large Office,,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
1669,"₦ 9,500,000",Gana Street Maitama Abuja,2,A High Quality Flat,Apartment,Maitama,"₦ 9,500,000","₦9,500,000.00",9500000.0
1670,"₦ 6,000,000/year",3rd Avenue Gwarinpa Abuja,,Newly Built Office/shop Space,,Gwarinpa,"₦ 6,000,000","₦6,000,000.00",6000000.0
1671,"₦ 15,000,000/year",Jahi Gilmore Jahi Abuja,4,Newly Built Terrace Duplex,Duplex,Jahi,"₦ 15,000,000","₦15,000,000.00",15000000.0
1672,"₦ 1,400,000/year",6th Avenue Gwarinpa Abuja,,Studio Apartment,Apartment,Gwarinpa,"₦ 1,400,000","₦1,400,000.00",1400000.0
1673,"₦ 10,000,000",Dantata Estate Gwarimpa Gwarinpa Abuja,4,A Newly Built Terrace Duplex With Bq,Duplex,Gwarinpa,"₦ 10,000,000","₦10,000,000.00",10000000.0
1674,"₦ 12,000,000/year","2nd Avenue, Gwarinpa Abuja",4,Detached Duplex With Bq,Duplex,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
1675,"₦ 5,000,000/year",3rd Avenue Gwarinpa Abuja,,New Shop In A Mall,,Gwarinpa,"₦ 5,000,000","₦5,000,000.00",5000000.0
1676,"₦ 4,000,000/year",6th Avenue Gwarinpa Abuja,,Ground Floor Shop Space,,Gwarinpa,"₦ 4,000,000","₦4,000,000.00",4000000.0
1677,"₦ 10,000,000/year",Gwarimpa Main Gwarinpa Abuja,,Shop Space,,Gwarinpa,"₦ 10,000,000","₦10,000,000.00",10000000.0
1678,"₦ 5,000,000/year","4th Avenue, Gwarinpa Abuja",,A Spacious Shop Space,,Gwarinpa,"₦ 5,000,000","₦5,000,000.00",5000000.0
1679,"₦ 1,500,000/year",Gwarimpa Extension Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
1680,"₦ 1,600,000/year",Gwarimpa Extension Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,600,000","₦1,600,000.00",1600000.0
1681,"₦ 12,000,000",Off 4th Avenue Gwarinpa Abuja,,A Sizable Warehouse In Gwarimpa Main,,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
1682,"₦ 18,000,000",Gwarimpa Main Gwarinpa Abuja,4,A Fully Detached Duplex With 3 Bq,Duplex,Gwarinpa,"₦ 18,000,000","₦18,000,000.00",18000000.0
1683,"₦ 1,700,000/year",Main Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,700,000","₦1,700,000.00",1700000.0
1684,"₦ 7,000,000/year",Wuse Zone 5 Wuse 1 Abuja,,A Hall Space,,Wuse,"₦ 7,000,000","₦7,000,000.00",7000000.0
1685,"₦ 4,500,000/year",Gwarimpa Main Gwarinpa Abuja,3,Block Of Flat,Apartment,Gwarinpa,"₦ 4,500,000","₦4,500,000.00",4500000.0
1686,"₦ 9,000,000/year","Dantata Estate, 3rd Avenue Gwarinpa Abuja",4,A Very Spacious Terrace Duplex,Duplex,Gwarinpa,"₦ 9,000,000","₦9,000,000.00",9000000.0
1687,"₦ 3,500,000/year",Gwarimpa Main Gwarinpa Abuja,,A Large Shop/office Space (newly Built),,Gwarinpa,"₦ 3,500,000","₦3,500,000.00",3500000.0
1688,"₦ 12,000,000/year",2nd Avenue Gwarinpa Abuja,4,Newly Built Standalone Duplex,Duplex,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
1689,"₦ 1,100,000,000",By Coza Church Guzape Abuja,6,Detached Duplex With Basement,Duplex,Guzape,"₦ 1,100,000,000","₦1,100,000,000.00",1100000000.0
1690,"₦ 11,000,000/year",2nd Avenue Gwarinpa Abuja,4,Terrace Duplex With Bq,Duplex,Gwarinpa,"₦ 11,000,000","₦11,000,000.00",11000000.0
1691,"₦ 10,000,000/year",Katsina Estate After Godab Estate Life Camp Abuja,4,Detached Duplex,Duplex,Life Camp,"₦ 10,000,000","₦10,000,000.00",10000000.0
1692,"₦ 3,500,000/year",6th Avenue Gwarinpa Abuja,,Newly Built Shop Space,,Gwarinpa,"₦ 3,500,000","₦3,500,000.00",3500000.0
1693,"₦ 3,500,000/year",6th Avenue Gwarinpa Abuja,,Newly Built Shop Space,,Gwarinpa,"₦ 3,500,000","₦3,500,000.00",3500000.0
1694,"₦ 20,000,000",Off 1st Avenue Gwarinpa Abuja,5,A Fully Detached Duplex With Bq,Duplex,Gwarinpa,"₦ 20,000,000","₦20,000,000.00",20000000.0
1695,"₦ 15,000,000",Naf Valley Estate Asokoro Abuja,4,A Fully Detached Duplex,Duplex,Asokoro,"₦ 15,000,000","₦15,000,000.00",15000000.0
1696,"₦ 8,000,000/year",Estate Of 3rd Avenue Gwarinpa Abuja,3,Newly Built Terrace Duplex,Duplex,Gwarinpa,"₦ 8,000,000","₦8,000,000.00",8000000.0
1697,"₦ 7,000,000","Brookshore Estate, Karsana Gwarinpa Abuja",4,Standard Terraced Duplex,Duplex,Gwarinpa,"₦ 7,000,000","₦7,000,000.00",7000000.0
1698,"₦ 1,200,000/year","69 Road, 6th Avenue Gwarinpa Abuja",,Room Self Contain,Apartment,Gwarinpa,"₦ 1,200,000","₦1,200,000.00",1200000.0
1699,"₦ 20,000,000/year",Maitama Abuja,3,Flat,Apartment,Maitama,"₦ 20,000,000","₦20,000,000.00",20000000.0
1700,"₦ 1,800,000,000/year",Asokoro Abuja,6,6 Units Of Apartments,Apartment,Asokoro,"₦ 1,800,000,000","₦1,800,000,000.00",1800000000.0
1702,"₦ 80,000,000/year",Asokoro Asokoro Abuja,5,Fully Detached Duplex With Bq,Duplex,Asokoro,"₦ 80,000,000","₦80,000,000.00",80000000.0
1711,"₦ 30,000,000/year",Main Asokoro Abuja,4,Detached Duplex With 2 Bq,Duplex,Asokoro,"₦ 30,000,000","₦30,000,000.00",30000000.0
1713,"₦ 20,000,000/year",Asokoro Abuja,4,Detached Duplex With 2 Bq,Duplex,Asokoro,"₦ 20,000,000","₦20,000,000.00",20000000.0
1714,"₦ 12,000,000/year",Katempe Extension Katampe Abuja,2,Serviced Apartment,Apartment,Katampe,"₦ 12,000,000","₦12,000,000.00",12000000.0
1718,"₦ 8,000,000/year",Estate By Nizamiye Hospital Idu Abuja,4,Newly Built Terrace Duplex With Bq,Duplex,Idu,"₦ 8,000,000","₦8,000,000.00",8000000.0
1719,"₦ 5,500,000/year",Jahi By Aduvie Jahi Abuja,,"Exquisitely Finished Two Bedroom Flat, Upstairs",Apartment,Jahi,"₦ 5,500,000","₦5,500,000.00",5500000.0
1722,"₦ 10,000,000",Guzape Main Guzape Abuja,3,Spacious Flat,Apartment,Guzape,"₦ 10,000,000","₦10,000,000.00",10000000.0
1723,"₦ 10,000,000",Guzape Main Guzape Abuja,3,Furnished Flat,Apartment,Guzape,"₦ 10,000,000","₦10,000,000.00",10000000.0
1724,"₦ 9,000,000",Guzape Guzape Abuja,2,Terrace Duplex,Duplex,Guzape,"₦ 9,000,000","₦9,000,000.00",9000000.0
1725,"₦ 700,000/year",Bypass Karshi Abuja,2,Flat,Apartment,Karshi,"₦ 700,000","₦700,000.00",700000.0
1726,"₦ 5,500,000",Wuye Wuye Abuja,3,Flat,Apartment,Wuye,"₦ 5,500,000","₦5,500,000.00",5500000.0
1727,"₦ 8,000,000",Guzape Guzape Abuja,2,Clean Flat,Apartment,Guzape,"₦ 8,000,000","₦8,000,000.00",8000000.0
1728,"₦ 2,000,000/year",New Site Lugbe Abuja,1,Luxury Flat,Apartment,Lugbe,"₦ 2,000,000","₦2,000,000.00",2000000.0
1729,"₦ 3,000,000/year",New Site Lugbe Abuja,2,Luxury Flat,Apartment,Lugbe,"₦ 3,000,000","₦3,000,000.00",3000000.0
1730,"₦ 6,000,000",Life Camp Life Camp Abuja,2,Terrace,Duplex,Life Camp,"₦ 6,000,000","₦6,000,000.00",6000000.0
1732,"₦ 3,000,000",Life Camp Life Camp Abuja,1,Flat,Apartment,Life Camp,"₦ 3,000,000","₦3,000,000.00",3000000.0
1734,"₦ 11,000,000",Mabushi Mabushi Abuja,3,Furnished Flat,Apartment,Mabushi,"₦ 11,000,000","₦11,000,000.00",11000000.0
1735,"₦ 18,000,000",Guzape Guzape Abuja,4,Clean Terrace Duplex,Duplex,Guzape,"₦ 18,000,000","₦18,000,000.00",18000000.0
1736,"₦ 5,000,000",Life Camp Life Camp Abuja,2,Clean Flat,Apartment,Life Camp,"₦ 5,000,000","₦5,000,000.00",5000000.0
1737,"₦ 17,000,000",Guzape Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 17,000,000","₦17,000,000.00",17000000.0
1738,"₦ 7,500,000/year",Guzape Abuja,2,Flat,Apartment,Guzape,"₦ 7,500,000","₦7,500,000.00",7500000.0
1740,"₦ 13,000,000",Guzape Guzape Abuja,2,Furnished Flat,Apartment,Guzape,"₦ 13,000,000","₦13,000,000.00",13000000.0
1741,"₦ 6,500,000",Idu Idu Abuja,4,Newly Built Terrace Duplex,Duplex,Idu,"₦ 6,500,000","₦6,500,000.00",6500000.0
1743,"₦ 4,500,000",Life Camp Life Camp Abuja,3,Flat,Apartment,Life Camp,"₦ 4,500,000","₦4,500,000.00",4500000.0
1744,"₦ 5,000,000",Life Camp Life Camp Abuja,3,Clean Flat,Apartment,Life Camp,"₦ 5,000,000","₦5,000,000.00",5000000.0
1745,"₦ 12,000,000",Guzape Main Guzape Abuja,3,Clean Flat,Apartment,Guzape,"₦ 12,000,000","₦12,000,000.00",12000000.0
1746,"₦ 35,000,000/year",Maitama Abuja,4,Duplex,Duplex,Maitama,"₦ 35,000,000","₦35,000,000.00",35000000.0
1747,"₦ 10,000,000/year",Wuse 1 Abuja,3,Flat,Apartment,Wuse,"₦ 10,000,000","₦10,000,000.00",10000000.0
1748,"₦ 13,500,000/year",Jahi Abuja,4,Blocks Of Flats,Apartment,Jahi,"₦ 13,500,000","₦13,500,000.00",13500000.0
1749,"₦ 50,000,000/year",Asokoro Asokoro Abuja,5,Apartment,Apartment,Asokoro,"₦ 50,000,000","₦50,000,000.00",50000000.0
1750,"₦ 1,500,000/year",Garki 2 Abuja,,Shop,,Garki,"₦ 1,500,000","₦1,500,000.00",1500000.0
1751,"₦ 5,000,000/year",Wuse 2 Abuja,,Shop Space,,Wuse,"₦ 5,000,000","₦5,000,000.00",5000000.0
1753,"₦ 3,800,000/year",Wuse 2 Abuja,,Shop,,Wuse,"₦ 3,800,000","₦3,800,000.00",3800000.0
1754,"₦ 800,000/year",Wuye Abuja,30,30sqm Office/shop Space,,Wuye,"₦ 800,000","₦800,000.00",800000.0
1755,"₦ 2,500,000/year",Gudu Apo Abuja,70,70sqm Official Space,,Apo,"₦ 2,500,000","₦2,500,000.00",2500000.0
1756,"₦ 5,700,000/year",Aminu Kano Wuse 2 Abuja,55,55sqm Ground Floor,,Wuse,"₦ 5,700,000","₦5,700,000.00",5700000.0
1757,"₦ 1,900,000/year",Gudu Apo Abuja,,Serviced Office Space,,Apo,"₦ 1,900,000","₦1,900,000.00",1900000.0
1758,"₦ 15,000,000/year",Mabushi Abuja,,Office Space,,Mabushi,"₦ 15,000,000","₦15,000,000.00",15000000.0
1759,"₦ 5,000,000/year",Wuse 2 Abuja,,Office Space,,Wuse,"₦ 5,000,000","₦5,000,000.00",5000000.0
1760,"₦ 30,000,000/year",Wuse 2 Abuja,,Shop Space,,Wuse,"₦ 30,000,000","₦30,000,000.00",30000000.0
1761,"₦ 7,500,000/year",Wuse 2 Abuja,70,70sqm Ground Floor,,Wuse,"₦ 7,500,000","₦7,500,000.00",7500000.0
1762,"₦ 7,100,000/year",Gudu Apo Abuja,173,Office Space Measuring 173sqm,,Apo,"₦ 7,100,000","₦7,100,000.00",7100000.0
1763,"₦ 13,500,000",Mabushi Abuja,4,Clean Terrace Duplex With A Bq,Duplex,Mabushi,"₦ 13,500,000","₦13,500,000.00",13500000.0
1764,"₦ 15,000,000",Mabushi Abuja,4,New Terrace Duplex With A Bq,Duplex,Mabushi,"₦ 15,000,000","₦15,000,000.00",15000000.0
1765,"₦ 12,000,000",Mabushi Abuja,4,Clean Terrace Duplex With A Bq,Duplex,Mabushi,"₦ 12,000,000","₦12,000,000.00",12000000.0
1766,"₦ 20,000,000/year",Katampe Abuja,4,Terrace Duplex With Bq,Duplex,Katampe,"₦ 20,000,000","₦20,000,000.00",20000000.0
1767,"₦ 20,000,000/year",Katampe Abuja,4,Terrace Duplex With Bq,Duplex,Katampe,"₦ 20,000,000","₦20,000,000.00",20000000.0
1768,"₦ 17,650,500/year",Wuse 2 Abuja,,Shop Space,,Wuse,"₦ 17,650,500","₦17,650,500.00",17650500.0
1769,"₦ 8,000,000/year",Wuse 2 Abuja,,Shop Space,,Wuse,"₦ 8,000,000","₦8,000,000.00",8000000.0
1770,"₦ 19,000,000/year",Wuse 2 Abuja,,Shop Space,,Wuse,"₦ 19,000,000","₦19,000,000.00",19000000.0
1771,"₦ 30,000,000/year",Wuse 2 Abuja,4,Duplex With A Bq,Duplex,Wuse,"₦ 30,000,000","₦30,000,000.00",30000000.0
1772,"₦ 65,000,000/year",Wuse 2 Abuja,357,357sqm Rooftop Lounge And Restaurant Space,,Wuse,"₦ 65,000,000","₦65,000,000.00",65000000.0
1774,"₦ 13,000,000/year",Wuse 2 Abuja,60,60sqm Shop,,Wuse,"₦ 13,000,000","₦13,000,000.00",13000000.0
1775,"₦ 28,000,000/year",Wuse 2 Abuja,4,Duplex,Duplex,Wuse,"₦ 28,000,000","₦28,000,000.00",28000000.0
1776,"₦ 25,000,000/year",Wuse 2 Abuja,90,Shop Space Measuring 90sqm,,Wuse,"₦ 25,000,000","₦25,000,000.00",25000000.0
1777,"₦ 10,500,000/year",Wuse 2 Abuja,,Shop,,Wuse,"₦ 10,500,000","₦10,500,000.00",10500000.0
1778,"₦ 13,000,000/year",Wuse 2 Abuja,3,Serviced Apartment With Bq,Apartment,Wuse,"₦ 13,000,000","₦13,000,000.00",13000000.0
1779,"₦ 12,000,000",Wuse 2 Abuja,50,50sqm Shop Space,,Wuse,"₦ 12,000,000","₦12,000,000.00",12000000.0
1780,"₦ 35,000,000/year",Wuse 2 Abuja,3,Classy Flat,Apartment,Wuse,"₦ 35,000,000","₦35,000,000.00",35000000.0
1781,"₦ 52,000,000/year",Wuse 2 Abuja,,Shop,,Wuse,"₦ 52,000,000","₦52,000,000.00",52000000.0
1782,"₦ 9,000,000/year",Wuse 2 Abuja,3,Apartment,Apartment,Wuse,"₦ 9,000,000","₦9,000,000.00",9000000.0
1783,"₦ 63,700,000/year",Wuse 2 Abuja,420,Room Measuring 420sqm,Apartment,Wuse,"₦ 63,700,000","₦63,700,000.00",63700000.0
1784,"₦ 13,000,000/year",Wuse 2 Abuja,2,Apartment,Apartment,Wuse,"₦ 13,000,000","₦13,000,000.00",13000000.0
1785,"₦ 65,000,000/year",Gwarinpa Abuja,500,500sqm Ground Floor Space,,Gwarinpa,"₦ 65,000,000","₦65,000,000.00",65000000.0
1786,"₦ 19,500,000/year",Wuse 2 Abuja,75,75sqm Ground Floor Space,,Wuse,"₦ 19,500,000","₦19,500,000.00",19500000.0
1787,"₦ 15,500,000/year",Wuse 2 Abuja,2,Apartment With Bq,Apartment,Wuse,"₦ 15,500,000","₦15,500,000.00",15500000.0
1788,"₦ 25,000,000",Wuse 2 Abuja,2,Classy Penthouse With Swimming Pool,Duplex,Wuse,"₦ 25,000,000","₦25,000,000.00",25000000.0
1789,"₦ 12,500,000/year",Wuse 2 Abuja,45,45sqm Ground Floor Space,,Wuse,"₦ 12,500,000","₦12,500,000.00",12500000.0
1790,"$ 70,000/year",Wuse 2 Abuja,3,Luxury Penthouse,Duplex,Wuse,"$ 70,000","₦94,847,900.00",94847900.0
1791,"₦ 10,000,000/year",Wuse 2 Abuja,3,s Office Apartment,,Wuse,"₦ 10,000,000","₦10,000,000.00",10000000.0
1792,"₦ 123,500,000/year",Wuse 2 Abuja,,Open Floor Office Space,,Wuse,"₦ 123,500,000","₦123,500,000.00",123500000.0
1793,"₦ 100,000,000/year",Wuse 2 Abuja,,Open Space,,Wuse,"₦ 100,000,000","₦100,000,000.00",100000000.0
1795,"₦ 2,000,000/year",Garki 1 Abuja,,Suya Spot And Fish Spot,,Garki,"₦ 2,000,000","₦2,000,000.00",2000000.0
1796,"₦ 1,200,000/year",Garki 2 Abuja,,Room Self Contained,Apartment,Garki,"₦ 1,200,000","₦1,200,000.00",1200000.0
1797,"₦ 8,000,000",Katampe Main Abuja,3,Flat,Apartment,Katampe,"₦ 8,000,000","₦8,000,000.00",8000000.0
1798,"₦ 1,400,000/year",Garki 1 Abuja,,Room Self Contained,Apartment,Garki,"₦ 1,400,000","₦1,400,000.00",1400000.0
1799,"₦ 4,500,000/year",Garki 1 Abuja,2,Clean Standard Flat,Apartment,Garki,"₦ 4,500,000","₦4,500,000.00",4500000.0
1800,"₦ 15,000,000/year",Garki 1 Abuja,,Big Garden,,Garki,"₦ 15,000,000","₦15,000,000.00",15000000.0
1801,"₦ 3,200,000/year",Garki 1 Abuja,2,Flat,Apartment,Garki,"₦ 3,200,000","₦3,200,000.00",3200000.0
1803,"₦ 15,000,000/year","Gilmore, Jahi Abuja",4,Newly Built Serviced Terraced Duplex With Bq,Duplex,Jahi,"₦ 15,000,000","₦15,000,000.00",15000000.0
1804,"₦ 5,000,000/year",Guzape Abuja,,Office / Shop Space,,Guzape,"₦ 5,000,000","₦5,000,000.00",5000000.0
1805,"₦ 15,000,000/year",Life Camp Abuja,4,Furnished Semi Detached Duplex,Duplex,Life Camp,"₦ 15,000,000","₦15,000,000.00",15000000.0
1806,"₦ 12,000,000/year",Mabushi Abuja,4,Terraced Duplex,Duplex,Mabushi,"₦ 12,000,000","₦12,000,000.00",12000000.0
1807,"₦ 15,000,000/year",Guzape Abuja,4,Terraced Duplex With Bq/Flat,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
1809,"₦ 180,000,000/year",Wuse 2 Abuja,6,Office / Residential 6 Units Of Flat With Bq,,Wuse,"₦ 180,000,000","₦180,000,000.00",180000000.0
1810,"₦ 10,000,000/year",Mabushi Abuja,4,Terraced Duplex,Duplex,Mabushi,"₦ 10,000,000","₦10,000,000.00",10000000.0
1811,"₦ 13,000,000/year","Gilmore, Jahi Abuja",4,Terraced Duplex With Bq,Duplex,Jahi,"₦ 13,000,000","₦13,000,000.00",13000000.0
1812,"₦ 13,000,000/year","Gilmore, Jahi Abuja",4,Terraced Duplex With Bq,Duplex,Jahi,"₦ 13,000,000","₦13,000,000.00",13000000.0
1813,"₦ 15,000,000/year",Guzape Abuja,4,Terraced Duplex,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
1816,"₦ 8,000,000/year",Kado Abuja,3,Newly Built Flat,Apartment,Kado,"₦ 8,000,000","₦8,000,000.00",8000000.0
1818,"₦ 8,000,000/year",Life Camp Abuja,4,Newly Built Duplex,Duplex,Life Camp,"₦ 8,000,000","₦8,000,000.00",8000000.0
1819,"₦ 5,000,000/year",Katampe Main Abuja,3,Flat,Apartment,Katampe,"₦ 5,000,000","₦5,000,000.00",5000000.0
1820,"₦ 8,000,000/year",Gwarinpa Abuja,3,Newly Built Flat,Apartment,Gwarinpa,"₦ 8,000,000","₦8,000,000.00",8000000.0
1821,"₦ 10,500,000/year",Wuye Abuja,3,Newly Built Apartment,Apartment,Wuye,"₦ 10,500,000","₦10,500,000.00",10500000.0
1822,"₦ 9,000,000/year",Mabushi Abuja,3,Newly Built Apartment,Apartment,Mabushi,"₦ 9,000,000","₦9,000,000.00",9000000.0
1823,"₦ 6,500,000/year",Kado Abuja,3,Newly Built Flat,Apartment,Kado,"₦ 6,500,000","₦6,500,000.00",6500000.0
1827,"₦ 7,000,000/year","Gilmore, Jahi Abuja",2,Newly Built Apartment,Apartment,Jahi,"₦ 7,000,000","₦7,000,000.00",7000000.0
1829,"₦ 5,000,000/year",Jahi Abuja,2,Newly Built Flat With Bq,Apartment,Jahi,"₦ 5,000,000","₦5,000,000.00",5000000.0
1830,"₦ 5,500,000/year",Katampe Main Abuja,2,Newly Built Flat,Apartment,Katampe,"₦ 5,500,000","₦5,500,000.00",5500000.0
1832,"₦ 15,000,000/year",Jahi Abuja,4,Serviced Terraced Duplex With Bq,Duplex,Jahi,"₦ 15,000,000","₦15,000,000.00",15000000.0
1833,"₦ 7,000,000/year",Jahi Abuja,3,Flat,Apartment,Jahi,"₦ 7,000,000","₦7,000,000.00",7000000.0
1834,"₦ 25,000,000/year",Jabi Abuja,4,Serviced Semi Detached Duplex With Bq,Duplex,Jabi,"₦ 25,000,000","₦25,000,000.00",25000000.0
1837,"₦ 12,000,000/year","Gilmore, Jahi Abuja",4,Newly Built Terrace Duplex With Bq,Duplex,Jahi,"₦ 12,000,000","₦12,000,000.00",12000000.0
1838,"₦ 5,000,000/year",Jahi Abuja,2,Residential / Office Flat,,Jahi,"₦ 5,000,000","₦5,000,000.00",5000000.0
1839,"₦ 7,000,000/year",Katampe Main Abuja,3,Newly Built Apartment,Apartment,Katampe,"₦ 7,000,000","₦7,000,000.00",7000000.0
1841,"₦ 46,000,000/year","Idu Yard, Idu Abuja",1150,1150sqm Warehouse,,Idu,"₦ 46,000,000","₦46,000,000.00",46000000.0
1842,"₦ 15,000,000",Guzape Abuja,4,Detached Duplex,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
1843,"₦ 4,500,000/year",Lokogoma Abuja,3,Flat,Apartment,Lokogoma,"₦ 4,500,000","₦4,500,000.00",4500000.0
1844,"₦ 7,000,000/year","Gilmore, Jahi Abuja",3,Serviced Flat,Apartment,Jahi,"₦ 7,000,000","₦7,000,000.00",7000000.0
1845,"₦ 16,000,000/year","Gilmore, Jahi Abuja",5,Terraced Duplex With Bq,Duplex,Jahi,"₦ 16,000,000","₦16,000,000.00",16000000.0
1846,"₦ 6,000,000/year",Katampe Main Abuja,2,Flat,Apartment,Katampe,"₦ 6,000,000","₦6,000,000.00",6000000.0
1847,"₦ 20,000,000/year",Wuye Abuja,4,Newly Built Terraced Duplex,Duplex,Wuye,"₦ 20,000,000","₦20,000,000.00",20000000.0
1848,"₦ 12,000,000/year",Guzape Abuja,4,Terraced Duplex,Duplex,Guzape,"₦ 12,000,000","₦12,000,000.00",12000000.0
1849,"₦ 5,000,000/year",Mabushi Abuja,2,Newly Built Standard Flat,Apartment,Mabushi,"₦ 5,000,000","₦5,000,000.00",5000000.0
1850,"₦ 7,500,000",Life Camp Life Camp Abuja,4,Spacious 4bedroom Terrace In An Estate,Duplex,Life Camp,"₦ 7,500,000","₦7,500,000.00",7500000.0
1851,"₦ 12,000,000",Gwarimpa Gwarinpa Abuja,4,Beautiful 4bedroom Terrace With Bd In An Estate,Duplex,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
1852,"₦ 9,000,000",Life Camp Life Camp Abuja,4,Newly Built 4bedroom Terrace For Rent,Duplex,Life Camp,"₦ 9,000,000","₦9,000,000.00",9000000.0
1853,"₦ 15,000,000",Kado Kado Abuja,4,Exquisite And Newly Built 4bedroom Terrace Duplex,Duplex,Kado,"₦ 15,000,000","₦15,000,000.00",15000000.0
1854,"₦ 15,000,000/year",Wuye Abuja,4,&1bq Terrace Duplex,Duplex,Wuye,"₦ 15,000,000","₦15,000,000.00",15000000.0
1855,"₦ 20,000,000/year",Kado Abuja,6,Semi Detached Duplex For Rent At Kado,Duplex,Kado,"₦ 20,000,000","₦20,000,000.00",20000000.0
1856,"₦ 6,000,000/year",Katampe Main Katampe Abuja,2,Apartment,Apartment,Katampe,"₦ 6,000,000","₦6,000,000.00",6000000.0
1858,"₦ 20,000,000/year",Guzape Abuja,3,Detached Duplex & 1bq For Rent At Guzape,Duplex,Guzape,"₦ 20,000,000","₦20,000,000.00",20000000.0
1859,"₦ 15,000,000/year","Mab Global Estate, Idu Industrial (institution And Research) Abuja",5,Detached Duplex,Duplex,Idu,"₦ 15,000,000","₦15,000,000.00",15000000.0
1860,"₦ 9,000,000/year",Jahi Abuja,3,Apartment,Apartment,Jahi,"₦ 9,000,000","₦9,000,000.00",9000000.0
1861,"₦ 15,000,000",Mabushi Mabushi Abuja,4,For Rent Terrace Duplex 1 Room Bq,Duplex,Mabushi,"₦ 15,000,000","₦15,000,000.00",15000000.0
1862,"₦ 6,000,000",Life Camp Life Camp Abuja,2,For Rent Apartment,Apartment,Life Camp,"₦ 6,000,000","₦6,000,000.00",6000000.0
1863,"₦ 3,500,000",Life Camp Life Camp Abuja,3,For Rent Apartment,Apartment,Life Camp,"₦ 3,500,000","₦3,500,000.00",3500000.0
1864,"₦ 10,000,000/year","Kado Estate, Kado Abuja",3,Semi Detached Duplex With 1 Bq,Duplex,Kado,"₦ 10,000,000","₦10,000,000.00",10000000.0
1865,"₦ 15,000,000/year",Jahi Abuja,4,Terraced Duplex With 1 Bq,Duplex,Jahi,"₦ 15,000,000","₦15,000,000.00",15000000.0
